"Module"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"M1"	"Ion channel transport"	"Ion channel transport"	"12/149"	"167/7644"	9.45798005937578e-05	0.00422169837195774	0.00380129342099314	"ATP1A3/ATP1B1/ATP2B1/GABRA1/GABRG2/RYR2/GABRB2/ATP8A2/ATP2B3/ANO3/GLRA3/GLRA2"	12
"M1"	"Ligand-gated ion channel transport"	"Ligand-gated ion channel transport"	"5/149"	"26/7644"	0.000124353125037321	0.00508811536611039	0.00458143092242762	"GABRA1/GABRG2/GABRB2/GLRA3/GLRA2"	5
"M1"	"G alpha (i) signalling events"	"G alpha (i) signalling events"	"14/149"	"236/7644"	0.000194007288010741	0.0073275060317903	0.00659781870157986	"RGS4/GABBR2/CNR1/RGS7/SST/NPY/RGS6/PDYN/HTR5A/SSTR2/MCHR1/OPRK1/GRM8/PTGER3"	14
"M1"	"Glutamate Binding, Activation of AMPA Receptors and Synaptic Plasticity"	"Glutamate Binding, Activation of AMPA Receptors and Synaptic Plasticity"	"5/149"	"30/7644"	0.000252997705195867	0.00828145821674473	0.00745677446893083	"NSF/PRKCB/PRKCG/AKAP5/CACNG2"	5
"M1"	"Trafficking of AMPA receptors"	"Trafficking of AMPA receptors"	"5/149"	"30/7644"	0.000252997705195867	0.00828145821674473	0.00745677446893083	"NSF/PRKCB/PRKCG/AKAP5/CACNG2"	5
"M1"	"Defective ACTH causes Obesity and Pro-opiomelanocortinin deficiency (POMCD)"	"Defective ACTH causes Obesity and Pro-opiomelanocortinin deficiency (POMCD)"	"20/149"	"441/7644"	0.00033235863811005	0.00959929948894321	0.00864338253908489	"GABBR2/CNR1/CHRM3/SST/NPY/HTR2A/RXFP1/GRM1/PDYN/HTR5A/SSTR2/ADCYAP1/MCHR1/TAC1/OPRK1/GRM8/GLP2R/PTGER3/HTR2C/PTH2R"	20
"M1"	"GPCR ligand binding"	"GPCR ligand binding"	"20/149"	"441/7644"	0.00033235863811005	0.00959929948894321	0.00864338253908489	"GABBR2/CNR1/CHRM3/SST/NPY/HTR2A/RXFP1/GRM1/PDYN/HTR5A/SSTR2/ADCYAP1/MCHR1/TAC1/OPRK1/GRM8/GLP2R/PTGER3/HTR2C/PTH2R"	20
"M1"	"Neurotoxicity of clostridium toxins"	"Neurotoxicity of clostridium toxins"	"4/149"	"20/7644"	0.00052673855735613	0.0143682573145478	0.0129374382508523	"SNAP25/SYT1/SV2B/SYT2"	4
"M1"	"GABA receptor activation"	"GABA receptor activation"	"6/149"	"55/7644"	0.000654324595422846	0.0169091250711904	0.0152252814447421	"GABBR2/GABRA1/GABRG2/GABRB2/KCNJ4/KCNJ3"	6
"M1"	"Ion transport by P-type ATPases"	"Ion transport by P-type ATPases"	"5/149"	"43/7644"	0.00139434545989044	0.0313209772387063	0.028201973288148	"ATP1A3/ATP1B1/ATP2B1/ATP8A2/ATP2B3"	5
"M1"	"Depolarization of the Presynaptic Terminal Triggers the Opening of Calcium Channels"	"Depolarization of the Presynaptic Terminal Triggers the Opening of Calcium Channels"	"3/149"	"12/7644"	0.0014033839088626	0.0313209772387063	0.028201973288148	"CACNA2D1/CACNB4/CACNG2"	3
"M1"	"Serotonin receptors"	"Serotonin receptors"	"3/149"	"12/7644"	0.0014033839088626	0.0313209772387063	0.028201973288148	"HTR2A/HTR5A/HTR2C"	3
"M1"	"GABA A receptor activation"	"GABA A receptor activation"	"3/149"	"13/7644"	0.00179846131456065	0.0383932393673601	0.0345699657718753	"GABRA1/GABRG2/GABRB2"	3
"M1"	"Interaction between L1 and Ankyrins"	"Interaction between L1 and Ankyrins"	"4/149"	"29/7644"	0.00225348283978123	0.0461025030971911	0.0415115259959701	"SCN2A/L1CAM/SCN8A/ANK1"	4
"M1"	"Adherens junctions interactions"	"Adherens junctions interactions"	"4/149"	"30/7644"	0.0025612497835636	0.050302945749189	0.0452936803830194	"CDH13/CDH8/CDH18/CDH9"	4
"M1"	"Class A/1 (Rhodopsin-like receptors)"	"Class A/1 (Rhodopsin-like receptors)"	"14/149"	"314/7644"	0.00316355593455858	0.0571195062216476	0.051431434479777	"CNR1/CHRM3/SST/NPY/HTR2A/RXFP1/PDYN/HTR5A/SSTR2/MCHR1/TAC1/OPRK1/PTGER3/HTR2C"	14
"M1"	"Signaling by Robo receptor"	"Signaling by Robo receptor"	"4/149"	"32/7644"	0.00326101922319274	0.0571195062216476	0.051431434479777	"PAK1/CAP2/PAK3/ROBO2"	4
"M1"	"Sema3A PAK dependent Axon repulsion"	"Sema3A PAK dependent Axon repulsion"	"3/149"	"16/7644"	0.00337365719028061	0.0571195062216476	0.051431434479777	"PAK1/PAK3/PLXNA4"	3
"M1"	"Trafficking of GluR2-containing AMPA receptors"	"Trafficking of GluR2-containing AMPA receptors"	"3/149"	"16/7644"	0.00337365719028061	0.0571195062216476	0.051431434479777	"NSF/PRKCB/PRKCG"	3
"M1"	"Acetylcholine Neurotransmitter Release Cycle"	"Acetylcholine Neurotransmitter Release Cycle"	"3/149"	"17/7644"	0.00403855399457939	0.0639654842367252	0.0575956766629319	"SNAP25/SYT1/RAB3A"	3
"M1"	"Ras activation uopn Ca2+ infux through NMDA receptor"	"Ras activation uopn Ca2+ infux through NMDA receptor"	"3/149"	"17/7644"	0.00403855399457939	0.0639654842367252	0.0575956766629319	"RASGRF1/GRIN2B/GRIN2A"	3
"M1"	"Post NMDA receptor activation events"	"Post NMDA receptor activation events"	"4/149"	"35/7644"	0.00453869397780549	0.0696405857219529	0.062705640482839	"CAMKK1/RASGRF1/GRIN2B/GRIN2A"	4
"M1"	"Norepinephrine Neurotransmitter Release Cycle"	"Norepinephrine Neurotransmitter Release Cycle"	"3/149"	"18/7644"	0.00477767886569784	0.0710860703956861	0.0640071809758563	"SNAP25/SYT1/RAB3A"	3
"M1"	"Activation of NMDA receptor upon glutamate binding and postsynaptic events"	"Activation of NMDA receptor upon glutamate binding and postsynaptic events"	"4/149"	"39/7644"	0.00671418234252192	0.0961615758177011	0.0865856187017568	"CAMKK1/RASGRF1/GRIN2B/GRIN2A"	4
"M1"	"NGF signalling via TRKA from the plasma membrane"	"NGF signalling via TRKA from the plasma membrane"	"10/149"	"206/7644"	0.00685469481388908	0.0961615758177011	0.0865856187017568	"SH3GL2/MEF2C/PRKCG/PRKCE/PDE1A/KIT/ADCYAP1/RIT2/FGF9/DUSP4"	10
"M1"	"Uptake and actions of bacterial toxins"	"Uptake and actions of bacterial toxins"	"4/149"	"40/7644"	0.00734921798874115	0.0990198867368453	0.0891592934494051	"SNAP25/SYT1/SV2B/SYT2"	4
"M1"	"Glutamate Neurotransmitter Release Cycle"	"Glutamate Neurotransmitter Release Cycle"	"3/149"	"21/7644"	0.00746178372558712	0.0990198867368453	0.0891592934494051	"SNAP25/SYT1/RAB3A"	3
"M1"	"Amine ligand-binding receptors"	"Amine ligand-binding receptors"	"4/149"	"42/7644"	0.0087353940020285	0.112870485657789	0.101630622738282	"CHRM3/HTR2A/HTR5A/HTR2C"	4
"M1"	"Semaphorin interactions"	"Semaphorin interactions"	"5/149"	"67/7644"	0.0096373840458936	0.120896229478095	0.108857147348697	"PAK1/CDK5R1/PAK3/PLXNA4/MET"	5
"M1"	"EPH-Ephrin signaling"	"EPH-Ephrin signaling"	"6/149"	"94/7644"	0.00989372667656351	0.120896229478095	0.108857147348697	"PAK1/NGEF/GRIN2B/PAK3/EPHA4/EPHA7"	6
"M1"	"Signalling by NGF"	"Signalling by NGF"	"12/149"	"287/7644"	0.0100952044981709	0.120896229478095	0.108857147348697	"SH3GL2/MEF2C/NGEF/PRKCG/PRKCE/PDE1A/KIT/ADCYAP1/MCF2/RIT2/FGF9/DUSP4"	12
"M1"	"G alpha (q) signalling events"	"G alpha (q) signalling events"	"9/149"	"189/7644"	0.0114150050095407	0.124717307450126	0.112297714929903	"PRKCE/CHRM3/DGKB/HTR2A/RASGRP1/GRM1/MCHR1/TAC1/HTR2C"	9
"M1"	"L1CAM interactions"	"L1CAM interactions"	"6/149"	"97/7644"	0.0114528103902112	0.124717307450126	0.112297714929903	"PAK1/SH3GL2/SCN2A/L1CAM/SCN8A/ANK1"	6
"M1"	"G alpha (z) signalling events"	"G alpha (z) signalling events"	"4/149"	"46/7644"	0.01199648245249	0.124717307450126	0.112297714929903	"RGS4/PRKCB/PRKCG/PRKCE"	4
"M1"	"Activation of G protein gated Potassium channels"	"Activation of G protein gated Potassium channels"	"3/149"	"25/7644"	0.0121923233352466	0.124717307450126	0.112297714929903	"GABBR2/KCNJ4/KCNJ3"	3
"M1"	"Effects of PIP2 hydrolysis"	"Effects of PIP2 hydrolysis"	"3/149"	"25/7644"	0.0121923233352466	0.124717307450126	0.112297714929903	"PRKCE/DGKB/RASGRP1"	3
"M1"	"G protein gated Potassium channels"	"G protein gated Potassium channels"	"3/149"	"25/7644"	0.0121923233352466	0.124717307450126	0.112297714929903	"GABBR2/KCNJ4/KCNJ3"	3
"M1"	"Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits"	"Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits"	"3/149"	"25/7644"	0.0121923233352466	0.124717307450126	0.112297714929903	"GABBR2/KCNJ4/KCNJ3"	3
"M1"	"CREB phosphorylation through the activation of Ras"	"CREB phosphorylation through the activation of Ras"	"3/149"	"27/7644"	0.0150731446545818	0.147566262658998	0.132871326651901	"RASGRF1/GRIN2B/GRIN2A"	3
"M1"	"Reduction of cytosolic Ca++ levels"	"Reduction of cytosolic Ca++ levels"	"2/149"	"10/7644"	0.0153276566102014	0.147566262658998	0.132871326651901	"ATP2B1/ATP2B3"	2
"M1"	"Synthesis of pyrophosphates in the cytosol"	"Synthesis of pyrophosphates in the cytosol"	"2/149"	"10/7644"	0.0153276566102014	0.147566262658998	0.132871326651901	"NUDT11/NUDT10"	2
"M1"	"Phospholipase C-mediated cascade"	"Phospholipase C-mediated cascade"	"4/149"	"54/7644"	0.0206389410864774	0.192148972751598	0.173014403592392	"PRKCG/PRKCE/PDE1A/FGF9"	4
"M1"	"DAG and IP3 signaling"	"DAG and IP3 signaling"	"3/149"	"31/7644"	0.0218936632497658	0.192148972751598	0.173014403592392	"PRKCG/PRKCE/PDE1A"	3
"M1"	"Inwardly rectifying K+ channels"	"Inwardly rectifying K+ channels"	"3/149"	"31/7644"	0.0218936632497658	0.192148972751598	0.173014403592392	"GABBR2/KCNJ4/KCNJ3"	3
"M1"	"CD28 dependent Vav1 pathway"	"CD28 dependent Vav1 pathway"	"2/149"	"12/7644"	0.0219151577883696	0.192148972751598	0.173014403592392	"PAK1/PAK3"	2
"M1"	"Peptide hormone biosynthesis"	"Peptide hormone biosynthesis"	"2/149"	"12/7644"	0.0219151577883696	0.192148972751598	0.173014403592392	"PCSK1/INHA"	2
"M1"	"Gastrin-CREB signalling pathway via PKC and MAPK"	"Gastrin-CREB signalling pathway via PKC and MAPK"	"9/149"	"217/7644"	0.0257341309811892	0.215022707584485	0.193610327335156	"PRKCE/CHRM3/DGKB/HTR2A/RASGRP1/GRM1/MCHR1/TAC1/HTR2C"	9
"M1"	"EGFR interacts with phospholipase C-gamma"	"EGFR interacts with phospholipase C-gamma"	"3/149"	"33/7644"	0.0258377591598464	0.215022707584485	0.193610327335156	"PRKCG/PRKCE/PDE1A"	3
"M1"	"PLC-gamma1 signalling"	"PLC-gamma1 signalling"	"3/149"	"33/7644"	0.0258377591598464	0.215022707584485	0.193610327335156	"PRKCG/PRKCE/PDE1A"	3
"M1"	"EPHA-mediated growth cone collapse"	"EPHA-mediated growth cone collapse"	"3/149"	"34/7644"	0.0279432628624695	0.224920361729058	0.202522353791841	"NGEF/EPHA4/EPHA7"	3
"M1"	"PLCG1 events in ERBB2 signaling"	"PLCG1 events in ERBB2 signaling"	"3/149"	"34/7644"	0.0279432628624695	0.224920361729058	0.202522353791841	"PRKCG/PRKCE/PDE1A"	3
"M1"	"Cell-cell junction organization"	"Cell-cell junction organization"	"4/149"	"60/7644"	0.0291170182310175	0.229591515470917	0.20672834494112	"CDH13/CDH8/CDH18/CDH9"	4
"M1"	"Activation of Rac"	"Activation of Rac"	"2/149"	"14/7644"	0.0294587891541096	0.229591515470917	0.20672834494112	"PAK1/PAK3"	2
"M1"	"Peptide ligand-binding receptors"	"Peptide ligand-binding receptors"	"8/149"	"190/7644"	0.0320224366697827	0.245672131325989	0.221207621732051	"SST/NPY/RXFP1/PDYN/SSTR2/MCHR1/TAC1/OPRK1"	8
"M1"	"CREB phosphorylation through the activation of CaMKII"	"CREB phosphorylation through the activation of CaMKII"	"2/149"	"15/7644"	0.0335631382807039	0.249689407512509	0.224824849727203	"GRIN2B/GRIN2A"	2
"M1"	"WNT5A-dependent internalization of FZD4"	"WNT5A-dependent internalization of FZD4"	"2/149"	"15/7644"	0.0335631382807039	0.249689407512509	0.224824849727203	"PRKCB/PRKCG"	2
"M1"	"CRMPs in Sema3A signaling"	"CRMPs in Sema3A signaling"	"2/149"	"16/7644"	0.0378759212936215	0.277568318733853	0.249927524639765	"CDK5R1/PLXNA4"	2
"M1"	"Activation of GABAB receptors"	"Activation of GABAB receptors"	"3/149"	"39/7644"	0.039792580215791	0.283161693999324	0.254963900696143	"GABBR2/KCNJ4/KCNJ3"	3
"M1"	"GABA B receptor activation"	"GABA B receptor activation"	"3/149"	"39/7644"	0.039792580215791	0.283161693999324	0.254963900696143	"GABBR2/KCNJ4/KCNJ3"	3
"M1"	"Unblocking of NMDA receptor, glutamate binding and activation"	"Unblocking of NMDA receptor, glutamate binding and activation"	"2/149"	"17/7644"	0.0423875702668271	0.293376809037198	0.264161774671719	"GRIN2B/GRIN2A"	2
"M1"	"Class C/3 (Metabotropic glutamate/pheromone receptors)"	"Class C/3 (Metabotropic glutamate/pheromone receptors)"	"3/149"	"40/7644"	0.0424231230990653	0.293376809037198	0.264161774671719	"GABBR2/GRM1/GRM8"	3
"M1"	"Ephrin signaling"	"Ephrin signaling"	"2/149"	"19/7644"	0.0519706339549336	0.349555907833869	0.314746449330528	"PAK1/PAK3"	2
"M1"	"Platelet calcium homeostasis"	"Platelet calcium homeostasis"	"2/149"	"19/7644"	0.0519706339549336	0.349555907833869	0.314746449330528	"ATP2B1/ATP2B3"	2
"M1"	"VEGFA-VEGFR2 Pathway"	"VEGFA-VEGFR2 Pathway"	"5/149"	"105/7644"	0.0538838429350662	0.357526579474561	0.321923385956299	"PAK1/PRKCB/HSPB1/WASF1/PAK3"	5
"M1"	"ERK/MAPK targets"	"ERK/MAPK targets"	"2/149"	"21/7644"	0.0622414401260256	0.39622982518009	0.35677248703106	"MEF2C/DUSP4"	2
"M1"	"regulation of FZD by ubiquitination"	"regulation of FZD by ubiquitination"	"2/149"	"21/7644"	0.0622414401260256	0.39622982518009	0.35677248703106	"RSPO2/RSPO3"	2
"M1"	"Signal transduction by L1"	"Signal transduction by L1"	"2/149"	"21/7644"	0.0622414401260256	0.39622982518009	0.35677248703106	"PAK1/L1CAM"	2
"M1"	"Regulation of insulin secretion"	"Regulation of insulin secretion"	"4/149"	"77/7644"	0.0629448602119085	0.39622982518009	0.35677248703106	"SNAP25/KCNC2/CHRM3/AKAP5"	4
"M1"	"Signaling by VEGF"	"Signaling by VEGF"	"5/149"	"113/7644"	0.069411323842361	0.43140455704556	0.388444450550188	"PAK1/PRKCB/HSPB1/WASF1/PAK3"	5
"M1"	"Opioid Signalling"	"Opioid Signalling"	"4/149"	"80/7644"	0.0704149587043781	0.432171809048121	0.389135298103142	"PPP3CA/PRKCG/PDE1A/PDYN"	4
"M1"	"Nuclear Events (kinase and transcription factor activation)"	"Nuclear Events (kinase and transcription factor activation)"	"2/149"	"24/7644"	0.0787925733491586	0.477619179190579	0.43005693056071	"MEF2C/DUSP4"	2
"M1"	"Cell junction organization"	"Cell junction organization"	"4/149"	"85/7644"	0.0838269147615031	0.500369814743693	0.450542013489873	"CDH13/CDH8/CDH18/CDH9"	4
"M1"	"Basigin interactions"	"Basigin interactions"	"2/149"	"25/7644"	0.0845838994373249	0.500369814743693	0.450542013489873	"ATP1B1/L1CAM"	2
"M1"	"Calmodulin induced events"	"Calmodulin induced events"	"2/149"	"26/7644"	0.0905001379707581	0.510753652225773	0.45989180819986	"PRKCG/PDE1A"	2
"M1"	"CaM pathway"	"CaM pathway"	"2/149"	"26/7644"	0.0905001379707581	0.510753652225773	0.45989180819986	"PRKCG/PDE1A"	2
"M1"	"Insulin processing"	"Insulin processing"	"2/149"	"26/7644"	0.0905001379707581	0.510753652225773	0.45989180819986	"PCSK2/PCSK1"	2
"M1"	"VEGFR2 mediated vascular permeability"	"VEGFR2 mediated vascular permeability"	"2/149"	"26/7644"	0.0905001379707581	0.510753652225773	0.45989180819986	"PAK1/PAK3"	2
"M1"	"Recycling pathway of L1"	"Recycling pathway of L1"	"2/149"	"27/7644"	0.0965342974360522	0.538617500467064	0.484980920133277	"SH3GL2/L1CAM"	2
"M1"	"G alpha (s) signalling events"	"G alpha (s) signalling events"	"5/149"	"126/7644"	0.0993569302047917	0.548137671129806	0.493553053648877	"PDE1A/RXFP1/ADCYAP1/GLP2R/PTH2R"	5
"M1"	"Ca-dependent events"	"Ca-dependent events"	"2/149"	"28/7644"	0.102679608140626	0.560174306633859	0.504391057532899	"PRKCG/PDE1A"	2
"M1"	"Cell-Cell communication"	"Cell-Cell communication"	"5/149"	"130/7644"	0.109699329114326	0.591586845995251	0.532675475009123	"PAK1/CDH13/CDH8/CDH18/CDH9"	5
"M1"	"Transport of inorganic cations/anions and amino acids/oligopeptides"	"Transport of inorganic cations/anions and amino acids/oligopeptides"	"4/149"	"94/7644"	0.110847229799518	0.591586845995251	0.532675475009123	"SLC12A5/SLC4A8/SLC32A1/SLC17A6"	4
"M1"	"Glucagon-type ligand receptors"	"Glucagon-type ligand receptors"	"2/149"	"30/7644"	0.115277678374388	0.602141915764088	0.542179450361062	"ADCYAP1/GLP2R"	2
"M1"	"MAPK targets/ Nuclear events mediated by MAP kinases"	"MAPK targets/ Nuclear events mediated by MAP kinases"	"2/149"	"30/7644"	0.115277678374388	0.602141915764088	0.542179450361062	"MEF2C/DUSP4"	2
"M1"	"HS-GAG biosynthesis"	"HS-GAG biosynthesis"	"2/149"	"31/7644"	0.121717955279534	0.629089642550012	0.566443669998939	"HS3ST2/NDST3"	2
"M1"	"CD28 co-stimulation"	"CD28 co-stimulation"	"2/149"	"32/7644"	0.128244407088232	0.650830970311981	0.586019953973699	"PAK1/PAK3"	2
"M1"	"Collagen biosynthesis and modifying enzymes"	"Collagen biosynthesis and modifying enzymes"	"3/149"	"64/7644"	0.128575568473039	0.650830970311981	0.586019953973699	"COL5A2/ADAMTS14/COL24A1"	3
"M1"	"Purine metabolism"	"Purine metabolism"	"2/149"	"33/7644"	0.13485128759974	0.670657588693854	0.603872199059746	"GDA/HPRT1"	2
"M1"	"Signaling by EGFR"	"Signaling by EGFR"	"6/149"	"179/7644"	0.136590140263514	0.670657588693854	0.603872199059746	"SH3GL2/PRKCG/PRKCE/PDE1A/KIT/FGF9"	6
"M1"	"Signaling by Overexpressed Wild-Type EGFR in Cancer"	"Signaling by Overexpressed Wild-Type EGFR in Cancer"	"6/149"	"179/7644"	0.136590140263514	0.670657588693854	0.603872199059746	"SH3GL2/PRKCG/PRKCE/PDE1A/KIT/FGF9"	6
"M1"	"Signaling by EGFR in Cancer"	"Signaling by EGFR in Cancer"	"6/149"	"181/7644"	0.141772966596563	0.675830355329249	0.608529851513098	"SH3GL2/PRKCG/PRKCE/PDE1A/KIT/FGF9"	6
"M1"	"Signaling by EGFRvIII in Cancer"	"Signaling by EGFRvIII in Cancer"	"6/149"	"181/7644"	0.141772966596563	0.675830355329249	0.608529851513098	"SH3GL2/PRKCG/PRKCE/PDE1A/KIT/FGF9"	6
"M1"	"Signaling by Ligand-Responsive EGFR Variants in Cancer"	"Signaling by Ligand-Responsive EGFR Variants in Cancer"	"6/149"	"181/7644"	0.141772966596563	0.675830355329249	0.608529851513098	"SH3GL2/PRKCG/PRKCE/PDE1A/KIT/FGF9"	6
"M1"	"Integration of energy metabolism"	"Integration of energy metabolism"	"4/149"	"104/7644"	0.144803981409789	0.683641873771215	0.615563483725823	"SNAP25/KCNC2/CHRM3/AKAP5"	4
"M1"	"Generation of second messenger molecules"	"Generation of second messenger molecules"	"2/149"	"37/7644"	0.161974665395044	0.744466210994292	0.670330814916074	"PAK1/PAK3"	2
"M1"	"NCAM1 interactions"	"NCAM1 interactions"	"2/149"	"37/7644"	0.161974665395044	0.744466210994292	0.670330814916074	"CACNB4/GFRA2"	2
"M1"	"Downstream signaling of activated FGFR"	"Downstream signaling of activated FGFR"	"5/149"	"149/7644"	0.165368114247832	0.744466210994292	0.670330814916074	"PRKCG/PRKCE/PDE1A/KIT/FGF9"	5
"M1"	"Acetylcholine regulates insulin secretion"	"Acetylcholine regulates insulin secretion"	"1/149"	"10/7644"	0.17878151040374	0.744466210994292	0.670330814916074	"CHRM3"	1
"M1"	"Activation of Ca-permeable Kainate Receptor"	"Activation of Ca-permeable Kainate Receptor"	"1/149"	"10/7644"	0.17878151040374	0.744466210994292	0.670330814916074	"NCALD"	1
"M1"	"Creatine metabolism"	"Creatine metabolism"	"1/149"	"10/7644"	0.17878151040374	0.744466210994292	0.670330814916074	"CKMT1A"	1
"M1"	"Displacement of DNA glycosylase by  APE1"	"Displacement of DNA glycosylase by  APE1"	"1/149"	"10/7644"	0.17878151040374	0.744466210994292	0.670330814916074	"CCNO"	1
"M1"	"Glycoprotein hormones"	"Glycoprotein hormones"	"1/149"	"10/7644"	0.17878151040374	0.744466210994292	0.670330814916074	"INHA"	1
"M1"	"Ionotropic activity of Kainate Receptors"	"Ionotropic activity of Kainate Receptors"	"1/149"	"10/7644"	0.17878151040374	0.744466210994292	0.670330814916074	"NCALD"	1
"M1"	"Netrin mediated repulsion signals"	"Netrin mediated repulsion signals"	"1/149"	"10/7644"	0.17878151040374	0.744466210994292	0.670330814916074	"UNC5D"	1
"M1"	"Purine catabolism"	"Purine catabolism"	"1/149"	"10/7644"	0.17878151040374	0.744466210994292	0.670330814916074	"GDA"	1
"M1"	"Orphan transporters"	"Orphan transporters"	"4/149"	"114/7644"	0.182285021009542	0.744466210994292	0.670330814916074	"GABRA1/GABRG2/GABRB2/ANO3"	4
"M1"	"EPHB-mediated forward signaling"	"EPHB-mediated forward signaling"	"2/149"	"41/7644"	0.189972144254169	0.744466210994292	0.670330814916074	"PAK1/GRIN2B"	2
"M1"	"Base-free sugar-phosphate removal via the single-nucleotide replacement pathway"	"Base-free sugar-phosphate removal via the single-nucleotide replacement pathway"	"1/149"	"11/7644"	0.194810008563269	0.744466210994292	0.670330814916074	"CCNO"	1
"M1"	"CYP2E1 reactions"	"CYP2E1 reactions"	"1/149"	"11/7644"	0.194810008563269	0.744466210994292	0.670330814916074	"CYP2C8"	1
"M1"	"DSCAM interactions"	"DSCAM interactions"	"1/149"	"11/7644"	0.194810008563269	0.744466210994292	0.670330814916074	"PAK1"	1
"M1"	"FGFR1c ligand binding and activation"	"FGFR1c ligand binding and activation"	"1/149"	"11/7644"	0.194810008563269	0.744466210994292	0.670330814916074	"FGF9"	1
"M1"	"Highly calcium permeable postsynaptic nicotinic acetylcholine receptors"	"Highly calcium permeable postsynaptic nicotinic acetylcholine receptors"	"1/149"	"11/7644"	0.194810008563269	0.744466210994292	0.670330814916074	"CHRNB2"	1
"M1"	"Nicotinate metabolism"	"Nicotinate metabolism"	"1/149"	"11/7644"	0.194810008563269	0.744466210994292	0.670330814916074	"NMNAT2"	1
"M1"	"Signaling by activated point mutants of FGFR1"	"Signaling by activated point mutants of FGFR1"	"1/149"	"11/7644"	0.194810008563269	0.744466210994292	0.670330814916074	"FGF9"	1
"M1"	"Glucagon-like Peptide-1 (GLP1) regulates insulin secretion"	"Glucagon-like Peptide-1 (GLP1) regulates insulin secretion"	"2/149"	"42/7644"	0.197073790301468	0.744466210994292	0.670330814916074	"KCNC2/AKAP5"	2
