"genes"	"modules"
"RPS4Y1"	"Not.Correlated"
"NRXN3"	"M1"
"DMXL2"	"M3"
"ZBTB38"	"M2"
"TSPAN13"	"M1"
"LRP2"	"M5"
"CADPS2"	"M1"
"ICAM5"	"M1"
"PLCB1"	"M3"
"ELMOD1"	"M1"
"KCNS1"	"M1"
"CERS2"	"M5"
"CRIM1"	"M2"
"KCNH8"	"M1"
"MAGEE1"	"M1"
"NBEA"	"M3"
"ADAMTS1"	"M2"
"LMO7"	"M1"
"ITGB8"	"M2"
"SNX10"	"M1"
"RORB"	"M3"
"MIR219A2HG"	"M1"
"CDH13"	"M1"
"HIF1A"	"M2"
"NRIP3"	"M1"
"ARFGEF2"	"M3"
"GLRB"	"M3"
"SUCLA2"	"M3"
"FCGR3A"	"M4"
"MTPN"	"M2"
"KCNQ5"	"M1"
"CACNA2D1"	"M1"
"CNR1"	"M1"
"KCNC2"	"M1"
"STXBP5L"	"M1"
"EDNRB"	"M2"
"NCEH1"	"M1"
"KCNK1"	"M1"
"PLXNA4"	"M1"
"DDX6"	"M2"
"PIK3C2A"	"M2"
"SLCO4A1"	"M4"
"RGS7"	"M1"
"SEMA6D"	"M2"
"CD14"	"M4"
"RFPL1S"	"M1"
"C11orf87"	"M1"
"CD44"	"M4"
"CHRM3"	"M1"
"SLC7A14"	"M1"
"VSTM2A"	"M1"
"SLC25A46"	"M3"
"RPS28P7"	"Not.Correlated"
"SLC2A5"	"M4"
"LRP1B"	"M2"
"GPR158"	"M1"
"GAD2"	"M1"
"SLC5A11"	"M5"
"KIF19"	"M5"
"CACNB4"	"M1"
"YBX3"	"M4"
"MT1G"	"M1"
"SGTB"	"M3"
"TMPRSS5"	"M5"
"VSIG4"	"M4"
"MT-TY"	"M3"
"BTAF1"	"M2"
"ITGB2"	"M4"
"SRGN"	"M4"
"ARC"	"M1"
"XIST"	"Not.Correlated"
"SCN1A"	"M3"
"CKMT1B"	"M1"
"CSRNP3"	"M3"
"ITGB1"	"M2"
"MAL2"	"M1"
"ERICH3"	"M1"
"KCNJ3"	"M1"
"P2RX7"	"M2"
"MT1F"	"Not.Correlated"
"DOK6"	"M3"
"HECW1"	"M1"
"RASA1"	"M3"
"CHRNB2"	"M1"
"GRIN2A"	"M1"
"TBC1D9"	"M3"
"KCTD16"	"M1"
"PCP4"	"M1"
"TMEM106B"	"M3"
"ATP11A"	"M2"
"ZCCHC12"	"M1"
"EGR3"	"M1"
"RPS28"	"Not.Correlated"
"SOCS3"	"M4"
"ELAVL2"	"M1"
"SELENOP"	"M5"
"FTO"	"M2"
"ENPP4"	"M3"
"SCN8A"	"M1"
"IL4R"	"M4"
"CCDC184"	"M1"
"SLC11A1"	"M4"
"DMXL1"	"M3"
"SLC6A15"	"M3"
"HS3ST2"	"M1"
"DGKB"	"M1"
"GJB1"	"M5"
"CLVS2"	"M1"
"CDH8"	"M1"
"TGFBR2"	"M2"
"KDM5D"	"Not.Correlated"
"FRMPD4"	"M1"
"HLA-DRB1"	"M4"
"CLEC2L"	"M1"
"CDH22"	"M1"
"DDR1"	"M2"
"SLC25A25"	"M3"
"SST"	"M1"
"CPNE4"	"M1"
"LCP1"	"M4"
"RAB3B"	"M1"
"PLCXD3"	"M1"
"ADAM9"	"M2"
"HSPA13"	"M3"
"ARRDC3"	"M2"
"TASOR2"	"M2"
"SLITRK5"	"M1"
"ITPR2"	"M2"
"SERPINH1"	"M4"
"M6PR"	"M2"
"B3GALT2"	"M3"
"TOGARAM1"	"M3"
"SMIM43"	"M1"
"FBXO11"	"M2"
"SEC23A"	"M3"
"FOSB"	"M1"
"LRFN5"	"M1"
"OSBPL8"	"M3"
"NPY"	"M1"
"ABCB1"	"M2"
"RANBP3L"	"M2"
"CX3CR1"	"M2"
"HLA-B"	"M4"
"PTPRO"	"M1"
"AKAP5"	"M1"
"RPL10P3"	"Not.Correlated"
"PCSK6"	"M5"
"WIF1"	"M2"
"CP"	"M2"
"KCNA1"	"M1"
"EDC4"	"M2"
"HILPDA"	"M4"
"NEUROD6"	"M1"
"MYSM1"	"M3"
"SIK1"	"M4"
"MOG"	"M5"
"NELL1"	"M1"
"KCNV1"	"M1"
"GADD45A"	"M4"
"TMED7"	"M3"
"NUDT11"	"M1"
"CD163"	"M4"
"ST6GALNAC5"	"M1"
"KSR2"	"M1"
"MAP4K3"	"M3"
"HAMP"	"M4"
"LRTM2"	"M1"
"RGS1"	"M4"
"SPTLC1"	"M2"
"NR4A1"	"M2"
"RUSF1"	"M3"
"CYBB"	"M2"
"HLA-A"	"M4"
"CFH"	"M2"
"RAB27B"	"M1"
"DDX3Y"	"Not.Correlated"
"GFRA2"	"M1"
"AZGP1"	"M5"
"MET"	"M1"
"HTR2A"	"M1"
"PCSK1"	"M1"
"SIDT1"	"M1"
"PPP4R4"	"M1"
"THNSL2"	"Not.Correlated"
"FCER1G"	"M4"
"SERPINA1"	"M4"
"S100A9"	"M4"
"ANO3"	"M1"
"LTN1"	"M3"
"TAFA2"	"M1"
"UFL1"	"M2"
"PART1"	"M1"
"RPL9"	"Not.Correlated"
"WASHC4"	"M2"
"HLA-C"	"M4"
"TLR4"	"M2"
"PRMT8"	"M1"
"CD53"	"M2"
"EMP1"	"M2"
"SLC2A13"	"M3"
"CSF3R"	"M2"
"B4GALT6"	"M1"
"LRRK2"	"M2"
"C11orf96"	"M4"
"RSPO2"	"M1"
"NT5C2"	"M2"
"GREM1"	"M5"
"PTPN3"	"M1"
"HCN1"	"M1"
"IMPA1"	"M3"
"C21orf91"	"M5"
"TRIM22"	"M2"
"CCN1"	"M5"
"MT-TL1"	"M3"
"ENPP5"	"M3"
"SLIT3"	"M1"
"HLA-E"	"M2"
"MRAP2"	"M1"
"MED23"	"M2"
"NFAT5"	"M2"
"RASL11B"	"M1"
"RAB5B"	"M2"
"TBC1D14"	"M2"
"RASGRP1"	"M1"
"OLFM3"	"M1"
"HBA2"	"M2"
"ROBO2"	"M1"
"PNMA5"	"M1"
"ZBTB11"	"M3"
"PHACTR1"	"M3"
"GABRA4"	"M3"
"LGR4"	"M2"
"SCN3A"	"M3"
"NETO1"	"M1"
"PPL"	"M1"
"KLK7"	"M1"
"STAT4"	"M1"
"ATF3"	"M5"
"MIGA1"	"M2"
"KIT"	"M1"
"MICU3"	"M3"
"SLC4A8"	"M1"
"DLG5"	"M2"
"SCYL2"	"M3"
"ABCA1"	"M2"
"ARHGAP29"	"M2"
"STXBP5"	"M3"
"CITED2"	"M3"
"EGR4"	"M1"
"WDR17"	"M3"
"TRAM1"	"M2"
"HERC2P3"	"M2"
"MT-TC"	"M3"
"RGS7BP"	"M3"
"FPR1"	"M4"
"USP9Y"	"Not.Correlated"
"LNX1"	"M1"
"SSTR1"	"M3"
"PCP4L1"	"M1"
"ELOVL4"	"M1"
"IL1RL1"	"M4"
"LAIR1"	"M4"
"ZNF711"	"M3"
"TAFA1"	"M1"
"PAX8-AS1"	"Not.Correlated"
"ZDBF2"	"M3"
"LNPEP"	"M2"
"ZNF385B"	"M1"
"MS4A6A"	"M4"
"EPHA5"	"M3"
"PAQR3"	"M3"
"CDH18"	"M1"
"ZBTB41"	"M3"
"PCDH8"	"M1"
"HLA-DRB5"	"M4"
"COL4A1"	"M4"
"GUCY1A2"	"M3"
"PDPR"	"M2"
"FSTL4"	"M1"
"ALOX5AP"	"M4"
"GPR137C"	"M3"
"PARP4"	"M2"
"ADAMTS9"	"M4"
"RXFP1"	"M1"
"C1QL3"	"M1"
"RGS6"	"M1"
"GRM1"	"M1"
"CTSC"	"M4"
"S100A8"	"M4"
"PTPRR"	"M1"
"PAK5"	"M1"
"ADM"	"M4"
"EEA1"	"M3"
"GADD45G"	"Not.Correlated"
"ANK1"	"M1"
"PVALB"	"M1"
"ENTPD3"	"M1"
"NR4A2"	"M3"
"AIDAP2"	"M2"
"HLA-DRA"	"M2"
"CTSS"	"M2"
"CDC40"	"M3"
"CKMT1A"	"M1"
"SLC16A3"	"M4"
"OLR1"	"M2"
"SPHKAP"	"M1"
"LPCAT2"	"M2"
"COL5A2"	"M1"
"CNTN3"	"M3"
"KCNA6"	"M3"
"EFR3B"	"M2"
"DLX6-AS1"	"M1"
"RTN4RL2"	"M1"
"CBLN4"	"M1"
"NUDT10"	"M1"
"SLC12A6"	"M2"
"FAM3C"	"M3"
"ZMAT4"	"M1"
"MACROD2"	"M3"
"AASS"	"M2"
"MTMR7"	"M3"
"FGD2"	"M2"
"MYH11"	"M2"
"GPR22"	"M1"
"TYMP"	"M4"
"C3AR1"	"M2"
"NRIP1"	"M2"
"SERTM1"	"M1"
"MBTPS2"	"M3"
"DACH2"	"M1"
"MLIP"	"M1"
"FCGR2A"	"M4"
"MAN1A1"	"M3"
"KITLG"	"M3"
"PTPRC"	"M2"
"TLR2"	"M4"
"P2RY12"	"M2"
"TUNAR"	"M1"
"LRRTM3"	"M3"
"PRKAA2"	"M3"
"PTPRJ"	"M2"
"MYOF"	"M2"
"CEPT1"	"M2"
"USH1C"	"M5"
"HOOK1"	"M1"
"EPHA7"	"M1"
"XK"	"M1"
"ZBTB16"	"M2"
"CAPN3"	"M5"
"TNNT2"	"M1"
"SFRP2"	"M5"
"BCL9L"	"M2"
"FMN1"	"M3"
"SLC32A1"	"M1"
"MGP"	"Not.Correlated"
"LRRC40"	"M3"
"BBS10"	"M2"
"TNC"	"M5"
"PCDHGC5"	"M3"
"ACBD7"	"M2"
"PDYN"	"M1"
"AFF2"	"M1"
"ALOX5"	"M4"
"FNDC9"	"M1"
"SCIN"	"M2"
"ARL4D"	"M1"
"DOCK8"	"M2"
"PIP5K1B"	"M3"
"GRIN3A"	"M1"
"KCNE4"	"M4"
"HTR5A"	"M1"
"HCK"	"M4"
"CD93"	"M4"
"HK2"	"M2"
"ADAMTS14"	"M1"
"IP6K3"	"M5"
"ITGA2"	"M5"
"SSTR2"	"M1"
"PWWP3B"	"M1"
"GPR4"	"M4"
"MTND1P23"	"M3"
"GPR83"	"M1"
"ADCYAP1"	"M1"
"ARHGAP20"	"M3"
"MCF2"	"M1"
"CCL2"	"M4"
"FLRT3"	"M1"
"HMGCLL1"	"M3"
"NXPH1"	"M3"
"SGPP2"	"M3"
"IL1R1"	"M2"
"CALB1"	"M1"
"CECR2"	"M2"
"ADAM28"	"M2"
"BHLHE22"	"M1"
"RPL13P12"	"M2"
"ZFPM2"	"M3"
"ZNF770"	"M2"
"PTGS2"	"M3"
"LYVE1"	"M2"
"TXLNGY"	"Not.Correlated"
"SLC17A6"	"M1"
"DLX1"	"M1"
"CARTPT"	"M1"
"ASAP2"	"M2"
"CLCA4"	"M5"
"PNMA6F"	"M1"
"TMX1"	"M2"
"UNC5D"	"M1"
"NWD2"	"M1"
"CD300A"	"M4"
"ITPR3"	"M2"
"SVEP1"	"M1"
"LGR5"	"M5"
"LY86-AS1"	"M1"
"ANGPT2"	"M4"
"KCND2"	"M3"
"AIF1"	"M4"
"ITPRIPL2"	"M2"
"SIGLEC10"	"M4"
"DOCK2"	"M2"
"NR4A3"	"M1"
"TMEM161B"	"M2"
"IRF8"	"M2"
"MCHR1"	"M1"
"EPHX4"	"M1"
"CHI3L2"	"M4"
"TRHDE"	"M3"
"CHML"	"M3"
"DAAM2-AS1"	"M2"
"DSE"	"M2"
"ENPP6"	"M5"
"HLA-DPA1"	"M2"
"CDH9"	"M1"
"SMG8"	"M2"
"LINC01007"	"M1"
"ZNF382"	"M3"
"MT-TM"	"M3"
"RGS16"	"M4"
"CNTN4"	"M3"
"FAT4"	"M2"
"SEC24D"	"M3"
"SHC3"	"M3"
"F13A1"	"M2"
"PLEK"	"M2"
"NIPAL4"	"M5"
"TMEM88B"	"M5"
"KLF10"	"M3"
"OXTR"	"M4"
"B3GNT9"	"M2"
"GIMAP6"	"M2"
"NAPSB"	"M4"
"HBA1"	"M2"
"CPVL"	"M2"
"MT-TV"	"M3"
"KCNS2"	"M1"
"GLRA3"	"M1"
"TRIM59"	"M5"
"NPAS4"	"M1"
"ATP2B1-AS1"	"M1"
"SPTSSB"	"M1"
"HS6ST2"	"M3"
"SH3BP5"	"M3"
"BMPER"	"M3"
"GPR34"	"M2"
"HAGLR"	"M5"
"CIITA"	"M2"
"CA12"	"M2"
"MT-TI"	"M3"
"NGFR"	"M5"
"ZNF629"	"M2"
"MT-TP"	"M3"
"HSPG2"	"M2"
"TSHZ2"	"M3"
"LPAR5"	"M2"
"HUNK"	"M1"
"GSTM1"	"Not.Correlated"
"NLGN4Y"	"Not.Correlated"
"CMTR2"	"M2"
"SELL"	"M4"
"QPCT"	"M3"
"RIT2"	"M1"
"C10orf105"	"M1"
"RPRML"	"M1"
"EIF1AY"	"Not.Correlated"
"CDKL2"	"M3"
"PITPNB"	"M2"
"TTC3P1"	"M2"
"PIK3AP1"	"M4"
"TSTD2"	"M2"
"PDLIM1"	"M4"
"KLF4"	"M2"
"LILRB4"	"M2"
"IRAK3"	"M2"
"TAC1"	"M1"
"RELL2"	"M1"
"AGBL4"	"M1"
"OPRK1"	"M1"
"EIF5A2"	"M3"
"SHPRH"	"M2"
"SEC24A"	"M3"
"SEMA3C"	"M3"
"FGF9"	"M1"
"STYK1"	"M1"
"FAM153A"	"M1"
"CNTN5"	"M1"
"FSTL5"	"M3"
"SLC26A4"	"M1"
"CD84"	"M2"
"BDNF"	"M1"
"HIPK4"	"M1"
"PIRT"	"M5"
"HLA-DQB1"	"M4"
"GPR61"	"M1"
"PLA1A"	"M4"
"MS4A7"	"M2"
"ABCC4"	"M2"
"CCNA1"	"M1"
"FGL2"	"M2"
"CRYBG3"	"M2"
"SASH3"	"M4"
"SOSTDC1"	"M1"
"CD86"	"M2"
"HTR5A-AS1"	"M1"
"TTC33"	"M3"
"MTCO2P22"	"M2"
"NHLRC2"	"M2"
"GLRA2"	"M1"
"MAP3K1"	"M2"
"ICAM1"	"M4"
"COL24A1"	"M1"
"PEAR1"	"M2"
"RPS2P46"	"Not.Correlated"
"PIGCP1"	"M2"
"NDST3"	"M1"
"TM4SF18"	"M2"
"TUBB"	"M3"
"CCR1"	"M2"
"BAALC-AS1"	"M4"
"MEPE"	"M1"
"EGR2"	"M1"
"GREM2"	"M1"
"PCDHGA12"	"M2"
"ABCA6"	"M5"
"IL1RAP"	"M2"
"KLHL28"	"M3"
"SEMA3A"	"M3"
"CALCRL"	"M2"
"PRPH2"	"M1"
"HSD11B1"	"M2"
"VSTM5"	"M1"
"FOXJ1"	"M1"
"SLC4A7"	"M3"
"FBLN7"	"M1"
"GBP1"	"M2"
"GRM8"	"M1"
"TCP11L2"	"M2"
"BMP2K"	"M3"
"RET"	"M1"
"TMEM255A"	"M2"
"STXBP5-AS1"	"M1"
"LINC00507"	"M1"
"C3orf80"	"M1"
"VWC2L"	"M1"
"IKZF1"	"M2"
"GPR88"	"M1"
"PLAUR"	"M4"
"TAF4B"	"M1"
"ERV3-1"	"M2"
"GRM5"	"M2"
"ABCD2"	"M3"
"FOXP2"	"M3"
"CHST6"	"M2"
"MPP7"	"M3"
"CMPK2"	"M3"
"C5AR1"	"M4"
"PLAGL1"	"M3"
"CPEB1"	"M2"
"GNB4"	"M2"
"MTRNR2L8"	"Not.Correlated"
"ZDHHC20"	"M2"
"MYL9"	"M2"
"INHA"	"M1"
"TRIM54"	"M1"
"TPBG"	"M1"
"TGFBI"	"M4"
"MTX3"	"M2"
"PDE3B"	"M2"
"RAVER1"	"M2"
"ZNF731P"	"M2"
"CRISPLD1"	"M3"
"UTY"	"Not.Correlated"
"TGFBR3L"	"M1"
"PDXP"	"M3"
"ERAP2"	"M2"
"LINC01616"	"M1"
"NFATC3"	"M2"
"DPY19L2P1"	"M1"
"GIPR"	"M5"
"EFCAB1"	"M1"
"ZNF92"	"M2"
"ESRRG"	"M3"
"TNFSF10"	"M2"
"DUSP4"	"M1"
"SEMA3E"	"M3"
"SYN3"	"M1"
"HSPA6"	"M4"
"RNF169"	"M2"
"GLP2R"	"M1"
"CLEC7A"	"M2"
"RBM24"	"M1"
"TRBC2"	"M1"
"SDR16C5"	"M1"
"RSPO3"	"M1"
"CRACD"	"M2"
"TRIQK"	"M2"
"CCNO"	"M1"
"SERPINE1"	"M4"
"PCDHAC2"	"M2"
"MED12L"	"M3"
"MTCO1P40"	"M2"
"SEMA3D"	"M3"
"LINC01535"	"M1"
"INHBA-AS1"	"M1"
"MT-TF"	"M3"
"SOWAHB"	"M1"
"MSR1"	"M2"
"TEX29"	"M1"
"JMJD7-PLA2G4B"	"M2"
"DDX60"	"M2"
"KCNA4"	"M3"
"TCIM"	"M1"
"NCR3LG1"	"M3"
"ECT2"	"M3"
"KRT222"	"M1"
"ADGRD1"	"M2"
"TNFAIP3"	"M2"
"RBM11"	"M1"
"GAPDHP35"	"M1"
"PPEF1"	"M1"
"ZNF804A"	"M1"
"TASP1"	"M3"
"PCDHGB7"	"M2"
"RPL21P16"	"M3"
"SYNGAP1"	"M3"
"ZBBX"	"M1"
"NLRP2"	"M1"
"PTGER3"	"M1"
"TTR"	"Not.Correlated"
"SULT1C4"	"M2"
"HTR2C"	"M1"
"SYT2"	"M1"
"LHFPL4"	"M3"
"STC1"	"M4"
"LTF"	"M4"
"TLR7"	"M2"
"TLR5"	"M2"
"IL1B"	"M4"
"LILRB1"	"M2"
"HLA-DQA1"	"M4"
"CYP2C8"	"M1"
"ANKRD44"	"M2"
"GPR63"	"M3"
"THBS1"	"M3"
"NCF2"	"M4"
"GPR150"	"M1"
"TAP1"	"M2"
"MIR210HG"	"M1"
"MYC"	"M4"
"HPR"	"Not.Correlated"
"ANKRD36C"	"M3"
"GRM5P1"	"M1"
"NEUROD1"	"M1"
"DCTN1-AS1"	"M1"
"ANKRD36"	"M3"
"GABRB1"	"M2"
"LINC00951"	"M2"
"EPHA3"	"M3"
"PPP1R10"	"M2"
"ARHGAP42"	"M2"
"CCDC85A"	"M3"
"ADCY7"	"M2"
"RAB6C-AS1"	"M1"
"GPR75"	"M2"
"CACNG2"	"M1"
"SLC7A4"	"M1"
"PTPRH"	"M1"
"MTUS2"	"M1"
"LINGO2"	"M1"
"PCDHGA9"	"M2"
"KCNB2"	"M1"
"KCNT2"	"M3"
"THBD"	"M4"
"LYPLA1"	"M3"
"TMEM100"	"M2"
"ATP8B4"	"M2"
"GNLY"	"M4"
"ASB2"	"M1"
"MS4A4A"	"M4"
"LINC02389"	"M1"
"HGF"	"M3"
"BMP6"	"M2"
"C7orf61"	"M1"
"MNDA"	"M2"
"MIS18BP1"	"M3"
"FYB1"	"M2"
"ADAMTS18"	"Not.Correlated"
"PTH2R"	"M1"
"CABCOCO1"	"M1"
"CNN2"	"M2"
"PILRB"	"M2"
