"Module"	"Gene1"	"Gene2"
"M1"	"SLC2A3"	"RIMBP2"
"M1"	"PARP4"	"HUNK"
"M1"	"FHL3"	"SLC4A8"
"M1"	"LNX1"	"USP17L2"
"M1"	"LNX1"	"WNT3A"
"M1"	"LNX1"	"TROAP"
"M1"	"LNX1"	"TLE4"
"M1"	"LNX1"	"CLDN1"
"M1"	"LNX1"	"BEX1"
"M1"	"LNX1"	"TGFB2"
"M1"	"LNX1"	"NMT2"
"M1"	"LNX1"	"MBD3L2"
"M1"	"LNX1"	"HDAC4"
"M1"	"LNX1"	"TRMT61A"
"M1"	"LNX1"	"SMG1"
"M1"	"LNX1"	"PNOC"
"M1"	"MKRN1"	"HUNK"
"M1"	"MKRN1"	"SNAP25"
"M1"	"MKRN1"	"XK"
"M1"	"HSF1"	"NRXN3"
"M1"	"NRBP1"	"EPHA7"
"M1"	"TNNT2"	"RPL38"
"M1"	"TNNT2"	"PTP4A1"
"M1"	"TNNT2"	"STAP2"
"M1"	"TNNT2"	"ANXA11"
"M1"	"TNNT2"	"POLR2D"
"M1"	"TNNT2"	"OR8H2"
"M1"	"TNNT2"	"MAGEH1"
"M1"	"TNNT2"	"PLEKHD1"
"M1"	"TNNT2"	"UHRF1BP1"
"M1"	"TNNT2"	"LGALS4"
"M1"	"TNNT2"	"CSE1L"
"M1"	"OPRK1"	"MNT"
"M1"	"OPRK1"	"ITGA8"
"M1"	"OPRK1"	"DVL3"
"M1"	"OPRK1"	"CSF2"
"M1"	"OPRK1"	"PPP2R3B"
"M1"	"OPRK1"	"FOLR3"
"M1"	"OPRK1"	"PTP4A1"
"M1"	"OPRK1"	"MT1F"
"M1"	"OPRK1"	"DTX3"
"M1"	"OPRK1"	"CTDSPL"
"M1"	"TRAPPC3L"	"SCN2A"
"M1"	"TRAPPC3L"	"XK"
"M1"	"TRAPPC3L"	"GRIN2B"
"M1"	"ARVCF"	"ATP1B1"
"M1"	"HUNK"	"FOXRED2"
"M1"	"HUNK"	"MAP2K3"
"M1"	"HUNK"	"BRD8"
"M1"	"HUNK"	"EME2"
"M1"	"HUNK"	"GRIN3B"
"M1"	"HUNK"	"SLBP"
"M1"	"HUNK"	"SYT14"
"M1"	"HUNK"	"HIST1H4B"
"M1"	"HUNK"	"ZNF620"
"M1"	"HUNK"	"VPS11"
"M1"	"HUNK"	"MEOX2"
"M1"	"HUNK"	"CCAR1"
"M1"	"HUNK"	"GSPT1"
"M1"	"HUNK"	"PARP3"
"M1"	"HUNK"	"DNAJC11"
"M1"	"HUNK"	"DES"
"M1"	"HUNK"	"JUN"
"M1"	"HUNK"	"FLT4"
"M1"	"HUNK"	"CTGF"
"M1"	"HUNK"	"CDH1"
"M1"	"HUNK"	"RSL1D1"
"M1"	"HUNK"	"ZADH2"
"M1"	"HUNK"	"SGCA"
"M1"	"HUNK"	"MSRB1"
"M1"	"HUNK"	"TLE4"
"M1"	"HUNK"	"GALNT4"
"M1"	"HUNK"	"GCC1"
"M1"	"HUNK"	"FBXW11"
"M1"	"HUNK"	"ASCL1"
"M1"	"HUNK"	"RPS17"
"M1"	"HUNK"	"PPP1R37"
"M1"	"HUNK"	"METTL22"
"M1"	"HUNK"	"TNIP2"
"M1"	"HUNK"	"GRHL2"
"M1"	"HUNK"	"ZNF383"
"M1"	"CDK8"	"LDB2"
"M1"	"ZNF202"	"NR4A3"
"M1"	"ZNF202"	"PPL"
"M1"	"ZNF202"	"RIMBP2"
"M1"	"CORT"	"MLLT11"
"M1"	"TUBB2A"	"EGR2"
"M1"	"ARHGAP26"	"PLK2"
"M1"	"COMMD5"	"PLK2"
"M1"	"DNM2"	"MLLT11"
"M1"	"TBR1"	"A1BG"
"M1"	"TBR1"	"TIAM1"
"M1"	"TBR1"	"ATP13A1"
"M1"	"TBR1"	"JOSD1"
"M1"	"TBR1"	"HOPX"
"M1"	"TBR1"	"LAD1"
"M1"	"TBR1"	"GOLGA7"
"M1"	"TBR1"	"MYO1G"
"M1"	"DDX39A"	"ADAM23"
"M1"	"F13A1"	"MLLT11"
"M1"	"RMND5B"	"HPRT1"
"M1"	"RMND5B"	"RIMBP2"
"M1"	"KCNC2"	"MORF4L2"
"M1"	"KCNC2"	"HAS3"
"M1"	"KCNC2"	"SPRY1"
"M1"	"KCNC2"	"RFX5"
"M1"	"KCNC2"	"HRAS"
"M1"	"KCNC2"	"SNED1"
"M1"	"KCNC2"	"CALB1"
"M1"	"KCNC2"	"MRPS25"
"M1"	"KCNC2"	"RHEB"
"M1"	"KCNC2"	"ZNF131"
"M1"	"KCNC2"	"NPM3"
"M1"	"KCNC2"	"DPYSL3"
"M1"	"KCNC2"	"IGFALS"
"M1"	"KCNC2"	"VPS28"
"M1"	"KCNC2"	"TCF24"
"M1"	"KCNC2"	"FBL"
"M1"	"KCNC2"	"BCAM"
"M1"	"KCNC2"	"YTHDC1"
"M1"	"KCNC2"	"SON"
"M1"	"KCNC2"	"TDRD7"
"M1"	"KCNC2"	"IVNS1ABP"
"M1"	"OLFML3"	"ADAM23"
"M1"	"ANAPC15"	"GRM1"
"M1"	"HMCES"	"CLEC2L"
"M1"	"RGS4"	"DOCK4"
"M1"	"RGS4"	"HPRT1"
"M1"	"RGS4"	"RHPN2"
"M1"	"RGS4"	"PTP4A1"
"M1"	"RGS4"	"DEDD"
"M1"	"RGS4"	"MIA3"
"M1"	"RGS4"	"KCNS3"
"M1"	"RGS4"	"SPDEF"
"M1"	"RGS4"	"LPP"
"M1"	"RGS4"	"TXNL1"
"M1"	"RGS4"	"MYO1G"
"M1"	"RGS4"	"SUPT6H"
"M1"	"RGS4"	"WSB2"
"M1"	"RGS4"	"AP3B1"
"M1"	"RGS4"	"LCT"
"M1"	"RGS4"	"GOT1"
"M1"	"IKZF2"	"CDK5R2"
"M1"	"HAND1"	"HCN1"
"M1"	"HAND1"	"LDB2"
"M1"	"HAND1"	"MLIP"
"M1"	"RXFP2"	"RTN1"
"M1"	"MAP2K3"	"HCN1"
"M1"	"MAP2K3"	"MLLT11"
"M1"	"PAK3"	"IGFALS"
"M1"	"PAK3"	"PTP4A1"
"M1"	"PAK3"	"HIST3H3"
"M1"	"PAK3"	"FBXO4"
"M1"	"PAK3"	"CORO2B"
"M1"	"PAK3"	"HELLS"
"M1"	"PAK3"	"DHRS13"
"M1"	"PAK3"	"COL9A2"
"M1"	"PAK3"	"FAM173A"
"M1"	"RPF2"	"DLGAP1"
"M1"	"RPF2"	"PTPN3"
"M1"	"PGF"	"CDK5R2"
"M1"	"PGF"	"ARC"
"M1"	"CADPS"	"PTN"
"M1"	"CADPS"	"EBNA1BP2"
"M1"	"CADPS"	"TWSG1"
"M1"	"CADPS"	"GSTM2"
"M1"	"CADPS"	"SORBS2"
"M1"	"CADPS"	"ZBTB37"
"M1"	"CADPS"	"ANKRD50"
"M1"	"CADPS"	"CDH13"
"M1"	"ARID2"	"RBM11"
"M1"	"SUPT16H"	"TPBG"
"M1"	"SUPT16H"	"HPRT1"
"M1"	"PCGF3"	"VSNL1"
"M1"	"TRIM23"	"NPAS4"
"M1"	"EME2"	"KIT"
"M1"	"EME2"	"EGR2"
"M1"	"NUDT19"	"NPAS4"
"M1"	"NUDT19"	"CBLN4"
"M1"	"CRAT"	"PLK2"
"M1"	"ARL2BP"	"PLK2"
"M1"	"SPHK1"	"SNAP25"
"M1"	"SLBP"	"ZCCHC12"
"M1"	"SLBP"	"LDB2"
"M1"	"SLIT3"	"KLHDC9"
"M1"	"SLIT3"	"ACR"
"M1"	"SLIT3"	"PPP4R4"
"M1"	"SLIT3"	"NRTN"
"M1"	"ITCH"	"PTPN3"
"M1"	"WDR7"	"RIMBP2"
"M1"	"WDR7"	"RTN1"
"M1"	"MYH7"	"SYP"
"M1"	"MYH7"	"CDH18"
"M1"	"TOP1MT"	"RIMBP2"
"M1"	"TOP1MT"	"LDB2"
"M1"	"PRKAR1A"	"SULT4A1"
"M1"	"SYN3"	"CHMP3"
"M1"	"SYN3"	"ABCE1"
"M1"	"SYN3"	"CDKN2A"
"M1"	"SYN3"	"UBA1"
"M1"	"SYN3"	"LRPAP1"
"M1"	"SYN3"	"CSRNP1"
"M1"	"SYN3"	"IL3"
"M1"	"SYN3"	"KIFC1"
"M1"	"SYN3"	"RHPN2"
"M1"	"SYN3"	"PTP4A1"
"M1"	"SYN3"	"PI4K2A"
"M1"	"SYN3"	"ATP5G3"
"M1"	"SYN3"	"METTL9"
"M1"	"SYN3"	"CDC25B"
"M1"	"SYN3"	"PDCD5"
"M1"	"SYN3"	"FCER2"
"M1"	"SYN3"	"PTN"
"M1"	"SYN3"	"SCAMP1"
"M1"	"SYN3"	"CHD6"
"M1"	"SYN3"	"KALRN"
"M1"	"SYN3"	"FAM69B"
"M1"	"SYN3"	"MROH8"
"M1"	"SYN3"	"PEX1"
"M1"	"SCN2A"	"ECHDC1"
"M1"	"SCN2A"	"KDM3A"
"M1"	"SCN2A"	"PTP4A1"
"M1"	"SCN2A"	"CNEP1R1"
"M1"	"SCN2A"	"TXNL1"
"M1"	"SCN2A"	"PCSK4"
"M1"	"SCN2A"	"BCAS1"
"M1"	"ODF2"	"MLLT11"
"M1"	"ATP8A2"	"MNT"
"M1"	"ATP8A2"	"ITGA8"
"M1"	"ATP8A2"	"PPP2R3B"
"M1"	"ATP8A2"	"FOLR3"
"M1"	"ATP8A2"	"PTP4A1"
"M1"	"ATP8A2"	"CARTPT"
"M1"	"ATP8A2"	"LSAMP"
"M1"	"ATP8A2"	"SIRT2"
"M1"	"ATP8A2"	"LPA"
"M1"	"ATP8A2"	"TMEM19"
"M1"	"ATP8A2"	"FAM200A"
"M1"	"ATP8A2"	"GRIA1"
"M1"	"ATP8A2"	"BSND"
"M1"	"AUP1"	"CDK14"
"M1"	"AUP1"	"PCSK2"
"M1"	"DRAP1"	"SV2B"
"M1"	"DRAP1"	"NPY"
"M1"	"DRAP1"	"ELAVL2"
"M1"	"LACRT"	"HPRT1"
"M1"	"LACRT"	"NPTN"
"M1"	"RNF144A"	"PLK2"
"M1"	"RNF144A"	"NPTN"
"M1"	"RASSF6"	"MDH1"
"M1"	"COPS7A"	"ATP1B1"
"M1"	"COPS7A"	"ELAVL2"
"M1"	"VPS37B"	"HCN1"
"M1"	"VPS37B"	"PDYN"
"M1"	"CACNG2"	"PTP4A1"
"M1"	"CACNG2"	"SEPT5"
"M1"	"CACNG2"	"CS"
"M1"	"CACNG2"	"GABRB2"
"M1"	"CACNG2"	"EPHB6"
"M1"	"CACNG2"	"TNFRSF11B"
"M1"	"CACNG2"	"KLF3"
"M1"	"CACNG2"	"NEUROG1"
"M1"	"CACNG2"	"PHGDH"
"M1"	"CACNG2"	"AP2B1"
"M1"	"CACNG2"	"TSEN54"
"M1"	"CACNG2"	"ABL2"
"M1"	"CACNG2"	"TOX3"
"M1"	"CACNG2"	"LOXL3"
"M1"	"CACNG2"	"TNFSF13"
"M1"	"CACNG2"	"CRNKL1"
"M1"	"CACNG2"	"FYTTD1"
"M1"	"CACNG2"	"MAPK4"
"M1"	"CACNG2"	"EGLN1"
"M1"	"CACNG2"	"LARP4B"
"M1"	"CACNG2"	"PLAGL1"
"M1"	"CACNG2"	"C19orf43"
"M1"	"CACNG2"	"SUPV3L1"
"M1"	"CACNG2"	"KDM6B"
"M1"	"CACNG2"	"SNX11"
"M1"	"CACNG2"	"MYH3"
"M1"	"CACNG2"	"PCGF1"
"M1"	"CACNG2"	"TIMM13"
"M1"	"CACNG2"	"B3GNT5"
"M1"	"CACNG2"	"PNMA6A"
"M1"	"C6orf25"	"NPAS4"
"M1"	"C6orf25"	"LDB2"
"M1"	"C6orf25"	"MLIP"
"M1"	"GABRA1"	"SCARA3"
"M1"	"GABRA1"	"TNR"
"M1"	"GABRA1"	"TOP2B"
"M1"	"GABRA1"	"PRKCZ"
"M1"	"GABRA1"	"IL2RB"
"M1"	"GABRA1"	"RNF126"
"M1"	"GABRA1"	"TBC1D20"
"M1"	"GABRA1"	"MADD"
"M1"	"GABRA1"	"CCDC124"
"M1"	"GABRA1"	"IGSF1"
"M1"	"GABRA1"	"ADAM15"
"M1"	"GABRA1"	"KDM4C"
"M1"	"ASB2"	"HNRNPL"
"M1"	"ASB2"	"ATP5F1"
"M1"	"ASB2"	"COG5"
"M1"	"ASB2"	"KPNA2"
"M1"	"ASB2"	"ZFP91"
"M1"	"ASB2"	"SLC12A2"
"M1"	"ASB2"	"KAZN"
"M1"	"ASB2"	"DOCK4"
"M1"	"ASB2"	"ZFR"
"M1"	"ASB2"	"CBL"
"M1"	"ASB2"	"POLR1D"
"M1"	"ASB2"	"WDHD1"
"M1"	"ASB2"	"RBBP8"
"M1"	"ASB2"	"ZNF804A"
"M1"	"ASB2"	"TSNAX"
"M1"	"ASB2"	"RAMP1"
"M1"	"ASB2"	"TRAPPC5"
"M1"	"ASB2"	"MYO16"
"M1"	"ASB2"	"KCNQ3"
"M1"	"ASB2"	"TM9SF1"
"M1"	"ASB2"	"EPN1"
"M1"	"ASB2"	"CLSTN1"
"M1"	"ASB2"	"PSMB3"
"M1"	"ASB2"	"IGFALS"
"M1"	"ASB2"	"CCR4"
"M1"	"ASB2"	"NAA50"
"M1"	"ASB2"	"MSRB1"
"M1"	"ASB2"	"TLE4"
"M1"	"ASB2"	"FGF8"
"M1"	"ASB2"	"PRF1"
"M1"	"ASB2"	"VPS28"
"M1"	"ASB2"	"MPZL1"
"M1"	"ASB2"	"CASP8"
"M1"	"ASB2"	"PTP4A1"
"M1"	"ASB2"	"SRP68"
"M1"	"ASB2"	"CEP57"
"M1"	"ASB2"	"NR2F2"
"M1"	"ASB2"	"CNOT6"
"M1"	"ASB2"	"GRM5"
"M1"	"ASB2"	"NFIB"
"M1"	"ASB2"	"MYBL2"
"M1"	"ASB2"	"EEF1A2"
"M1"	"ASB2"	"SOX6"
"M1"	"ASB2"	"CDH3"
"M1"	"ASB2"	"MAGEB18"
"M1"	"ASB2"	"ULBP2"
"M1"	"ASB2"	"RRAGA"
"M1"	"ASB2"	"CYP11A1"
"M1"	"ASB2"	"RAB11FIP5"
"M1"	"ASB2"	"CD163"
"M1"	"ASB2"	"RNF38"
"M1"	"ASB2"	"MBP"
"M1"	"ASB2"	"C6"
"M1"	"ASB2"	"FCGRT"
"M1"	"ASB2"	"NTS"
"M1"	"ASB2"	"RCBTB2"
"M1"	"ASB2"	"LCP2"
"M1"	"ASB2"	"XAF1"
"M1"	"ASB2"	"CNTNAP4"
"M1"	"ASB2"	"PIM2"
"M1"	"ASB2"	"HFE"
"M1"	"ASB2"	"DCAF5"
"M1"	"ASB2"	"HRC"
"M1"	"VSNL1"	"OSBPL1A"
"M1"	"VSNL1"	"PTP4A1"
"M1"	"VSNL1"	"EFNA1"
"M1"	"VSNL1"	"VPS16"
"M1"	"VSNL1"	"YES1"
"M1"	"VSNL1"	"SPAG1"
"M1"	"TLN1"	"EGR2"
"M1"	"DLGAP1"	"FOLR3"
"M1"	"DLGAP1"	"PTP4A1"
"M1"	"DLGAP1"	"CEP152"
"M1"	"DLGAP1"	"SLC37A4"
"M1"	"DLGAP1"	"HSPA2"
"M1"	"DLGAP1"	"SNX5"
"M1"	"OSBPL1A"	"SLC7A14"
"M1"	"ATG16L2"	"RIMBP2"
"M1"	"FRMPD4"	"CHERP"
"M1"	"FRMPD4"	"NLRP4"
"M1"	"FRMPD4"	"TGFB1I1"
"M1"	"FRMPD4"	"S100A13"
"M1"	"FRMPD4"	"MAFK"
"M1"	"FRMPD4"	"KPNA3"
"M1"	"FRMPD4"	"MRPS25"
"M1"	"FRMPD4"	"CDKN2A"
"M1"	"FRMPD4"	"WDR12"
"M1"	"FRMPD4"	"PLP2"
"M1"	"FRMPD4"	"PTP4A1"
"M1"	"FRMPD4"	"SPSB4"
"M1"	"FRMPD4"	"SPC24"
"M1"	"FRMPD4"	"ADRB1"
"M1"	"FRMPD4"	"POLR3H"
"M1"	"FRMPD4"	"RUSC1"
"M1"	"FRMPD4"	"IVL"
"M1"	"FRMPD4"	"BDNF"
"M1"	"FRMPD4"	"PTN"
"M1"	"FRMPD4"	"NOLC1"
"M1"	"FRMPD4"	"RRP1B"
"M1"	"FRMPD4"	"MSN"
"M1"	"FRMPD4"	"CPSF6"
"M1"	"FRMPD4"	"F8A1"
"M1"	"FRMPD4"	"RNF151"
"M1"	"FRMPD4"	"BACH2"
"M1"	"FRMPD4"	"GRK4"
"M1"	"FRMPD4"	"AHCY"
"M1"	"FRMPD4"	"RLF"
"M1"	"FRMPD4"	"TNR"
"M1"	"FRMPD4"	"KIF26B"
"M1"	"FRMPD4"	"VPS54"
"M1"	"FRMPD4"	"SOCS6"
"M1"	"FRMPD4"	"DYNC2H1"
"M1"	"FRMPD4"	"GPAA1"
"M1"	"FRMPD4"	"FAM189B"
"M1"	"FRMPD4"	"NR1H4"
"M1"	"FRMPD4"	"H3F3A"
"M1"	"FRMPD4"	"SLC25A4"
"M1"	"FRMPD4"	"LYL1"
"M1"	"FRMPD4"	"CACNA1C"
"M1"	"FRMPD4"	"TGDS"
"M1"	"FRMPD4"	"PAEP"
"M1"	"FRMPD4"	"SMCP"
"M1"	"TERF2"	"HCN1"
"M1"	"SYP"	"MNT"
"M1"	"SYP"	"A1BG"
"M1"	"SYP"	"FOLR3"
"M1"	"SYP"	"PTP4A1"
"M1"	"SYP"	"SPSB4"
"M1"	"SYP"	"ITGAE"
"M1"	"SYP"	"WDR36"
"M1"	"SYP"	"MINK1"
"M1"	"SYP"	"KRT27"
"M1"	"SYP"	"RAPSN"
"M1"	"SYP"	"LAIR1"
"M1"	"SYP"	"NUBPL"
"M1"	"SYP"	"GHRHR"
"M1"	"SYP"	"DHPS"
"M1"	"SYP"	"B4GALNT1"
"M1"	"SYP"	"GNAO1"
"M1"	"SYP"	"HSD11B1L"
"M1"	"SYP"	"RPL26L1"
"M1"	"SYP"	"PHF11"
"M1"	"SYP"	"EHHADH"
"M1"	"SYP"	"ADAM2"
"M1"	"SYP"	"IL10"
"M1"	"SYP"	"LAMA3"
"M1"	"SYP"	"YRDC"
"M1"	"SYP"	"SYN1"
"M1"	"SYP"	"GIN1"
"M1"	"SYP"	"ALX4"
"M1"	"SYP"	"SLC6A12"
"M1"	"SYP"	"CORO2A"
"M1"	"SYP"	"PTPN1"
"M1"	"SYP"	"CUX1"
"M1"	"NNAT"	"TIPIN"
"M1"	"NNAT"	"SLC31A1"
"M1"	"NNAT"	"MPPED1"
"M1"	"NNAT"	"PTP4A1"
"M1"	"NNAT"	"ANXA11"
"M1"	"NNAT"	"DCBLD1"
"M1"	"NNAT"	"RGS5"
"M1"	"NNAT"	"FAM189B"
"M1"	"NNAT"	"MLLT11"
"M1"	"NNAT"	"DHRS13"
"M1"	"NNAT"	"ATP9A"
"M1"	"NNAT"	"PHYKPL"
"M1"	"NNAT"	"EPS8L2"
"M1"	"NNAT"	"SAP18"
"M1"	"NNAT"	"RPP30"
"M1"	"NNAT"	"NDUFAF7"
"M1"	"NNAT"	"ALX4"
"M1"	"NNAT"	"IGSF9"
"M1"	"HIST1H4B"	"CDK5R2"
"M1"	"ANKRD13C"	"CDK5R2"
"M1"	"HAPLN1"	"RTN1"
"M1"	"TP53INP1"	"NEFM"
"M1"	"TP53INP1"	"MLIP"
"M1"	"MCF2"	"PTP4A1"
"M1"	"MCF2"	"TTLL5"
"M1"	"MCF2"	"GJD4"
"M1"	"PCLO"	"ZCCHC11"
"M1"	"PCLO"	"CDC25C"
"M1"	"PCLO"	"ERAS"
"M1"	"PCLO"	"VAMP3"
"M1"	"PCLO"	"PPP2R3B"
"M1"	"PCLO"	"NEIL1"
"M1"	"PCLO"	"NEU1"
"M1"	"PCLO"	"PRKAB2"
"M1"	"PCLO"	"VPS28"
"M1"	"PCLO"	"CSRP3"
"M1"	"PCLO"	"CTBS"
"M1"	"PCLO"	"KIF15"
"M1"	"PCLO"	"PTP4A1"
"M1"	"PCLO"	"SIPA1L3"
"M1"	"PCLO"	"IL1RAP"
"M1"	"PCLO"	"DGCR14"
"M1"	"PCLO"	"LSM10"
"M1"	"PCLO"	"TRPC3"
"M1"	"PCLO"	"SLC16A3"
"M1"	"PCLO"	"ATN1"
"M1"	"PCLO"	"CEL"
"M1"	"ADORA1"	"HCN1"
"M1"	"CDH5"	"FOSB"
"M1"	"HADHA"	"SVEP1"
"M1"	"AMER1"	"ATP1B1"
"M1"	"AMER1"	"HPRT1"
"M1"	"AMER1"	"PLK2"
"M1"	"AMER1"	"SVEP1"
"M1"	"ZNF620"	"TRIM37"
"M1"	"PITX3"	"MLLT11"
"M1"	"FAN1"	"CCNO"
"M1"	"WASF1"	"CHD1"
"M1"	"WASF1"	"CENPN"
"M1"	"LONP2"	"NPTN"
"M1"	"LONP2"	"SLC4A8"
"M1"	"MEPE"	"ZFP91"
"M1"	"MEPE"	"SARM1"
"M1"	"MEPE"	"TRPS1"
"M1"	"MEPE"	"SPZ1"
"M1"	"MEPE"	"EPS8L2"
"M1"	"MEPE"	"NQO1"
"M1"	"MEPE"	"CBLN1"
"M1"	"MEPE"	"PCDH20"
"M1"	"PTPRZ1"	"INA"
"M1"	"PTPRZ1"	"RBM11"
"M1"	"CNTNAP2"	"RPLP1"
"M1"	"CNTNAP2"	"RAB5B"
"M1"	"CNTNAP2"	"C19orf43"
"M1"	"BBS4"	"PLK2"
"M1"	"MGP"	"PLK2"
"M1"	"ELAVL4"	"CSRNP1"
"M1"	"ELAVL4"	"RARB"
"M1"	"ELAVL4"	"SNRPD2"
"M1"	"ELAVL4"	"RPP30"
"M1"	"HMGN3"	"HCN1"
"M1"	"MFAP2"	"TPBG"
"M1"	"HERPUD2"	"PPL"
"M1"	"HERPUD2"	"HPRT1"
"M1"	"HERPUD2"	"CDH18"
"M1"	"DDX42"	"SVEP1"
"M1"	"HLA-DOB"	"RET"
"M1"	"HLA-DOB"	"SVEP1"
"M1"	"TWISTNB"	"CDH18"
"M1"	"TWISTNB"	"RASGRP1"
"M1"	"TWISTNB"	"ARC"
"M1"	"TRAF5"	"NRXN3"
"M1"	"TRAF5"	"CDK5R2"
"M1"	"GJA9"	"PPP3CA"
"M1"	"GJA9"	"CDH18"
"M1"	"GJA9"	"ARC"
"M1"	"MRPL21"	"HPRT1"
"M1"	"MRPL21"	"ARC"
"M1"	"CYP2C8"	"TRAPPC5"
"M1"	"CYP2C8"	"RYR2"
"M1"	"CYP2C8"	"FOLR3"
"M1"	"CYP2C8"	"NPRL3"
"M1"	"CYP2C8"	"WDR76"
"M1"	"CYP2C8"	"CIAO1"
"M1"	"CYP2C8"	"SPINT1"
"M1"	"CYP2C8"	"REXO4"
"M1"	"ACTN1"	"ROBO2"
