"Module"	"Gene1"	"Gene2"
"M1"	"PHACTR1"	"GZMM"
"M1"	"PHACTR1"	"POLR1D"
"M1"	"PHACTR1"	"TROAP"
"M1"	"PHACTR1"	"CNTLN"
"M1"	"PHACTR1"	"SLC3A2"
"M1"	"PHACTR1"	"SKI"
"M1"	"PHACTR1"	"NPM3"
"M1"	"PHACTR1"	"GPC3"
"M1"	"PHACTR1"	"ACKR3"
"M1"	"PHACTR1"	"TUBA1C"
"M1"	"PHACTR1"	"FUBP1"
"M1"	"PHACTR1"	"MYO16"
"M1"	"PHACTR1"	"KIFC1"
"M1"	"PHACTR1"	"CRY1"
"M1"	"PHACTR1"	"OGG1"
"M1"	"PHACTR1"	"PPP2R5E"
"M1"	"PHACTR1"	"UBE2L6"
"M1"	"PHACTR1"	"AGRN"
"M1"	"PHACTR1"	"KDM3A"
"M1"	"PHACTR1"	"CRIPT"
"M1"	"PHACTR1"	"AP1G2"
"M1"	"PHACTR1"	"SLC1A1"
"M1"	"PHACTR1"	"CSRP3"
"M1"	"PHACTR1"	"MPPED1"
"M1"	"PHACTR1"	"FOLR3"
"M1"	"PHACTR1"	"PTP4A1"
"M1"	"PHACTR1"	"RINT1"
"M1"	"PHACTR1"	"NCK1"
"M1"	"PHACTR1"	"NFE2L2"
"M1"	"PHACTR1"	"RAB5B"
"M1"	"PHACTR1"	"CEACAM6"
"M1"	"PHACTR1"	"RPS15A"
"M1"	"PHACTR1"	"UCN"
"M1"	"PHACTR1"	"KCNK17"
"M1"	"PHACTR1"	"MCM5"
"M1"	"PHACTR1"	"GPRC5C"
"M1"	"PHACTR1"	"C18orf32"
"M1"	"PHACTR1"	"CLSPN"
"M1"	"PHACTR1"	"PALLD"
"M1"	"PHACTR1"	"SNAPC4"
"M1"	"PHACTR1"	"CD209"
"M1"	"PHACTR1"	"TUBB1"
"M1"	"PHACTR1"	"TESK2"
"M1"	"PHACTR1"	"UHMK1"
"M1"	"PHACTR1"	"GTF3A"
"M1"	"PHACTR1"	"CNTFR"
"M1"	"PHACTR1"	"LPP"
"M1"	"PHACTR1"	"AMIGO2"
"M1"	"PHACTR1"	"IL1RAP"
"M1"	"PHACTR1"	"PTTG1"
"M1"	"PHACTR1"	"NAT10"
"M1"	"PHACTR1"	"RHOH"
"M1"	"PHACTR1"	"ZNF2"
"M1"	"PHACTR1"	"BAIAP2L1"
"M1"	"PHACTR1"	"STARD7"
"M1"	"PHACTR1"	"NUPL1"
"M1"	"UQCRH"	"RIMBP2"
"M1"	"CACNB4"	"REV1"
"M1"	"CACNB4"	"RIMBP2"
"M1"	"CACNB4"	"CYBA"
"M1"	"CACNB4"	"IBTK"
"M1"	"NEUROD1"	"ELF1"
"M1"	"NEUROD1"	"DVL3"
"M1"	"NEUROD1"	"XK"
"M1"	"NEUROD1"	"C19orf25"
"M1"	"NEUROD1"	"FOLR3"
"M1"	"NEUROD1"	"LRIG1"
"M1"	"NEUROD1"	"EFS"
"M1"	"NEUROD1"	"KRTAP26-1"
"M1"	"IL16"	"CNGB1"
"M1"	"IL16"	"PLK2"
"M1"	"ERAL1"	"MDH1"
"M1"	"ITGA2"	"CBLN4"
"M1"	"ITGA2"	"MAP7D2"
"M1"	"SYT13"	"POLR1D"
"M1"	"SYT13"	"TLE4"
"M1"	"SYT13"	"C4BPB"
"M1"	"SYT13"	"ART3"
"M1"	"SYT13"	"ABHD17A"
"M1"	"MAFA"	"ELAVL2"
"M1"	"GABBR2"	"MXD4"
"M1"	"GABBR2"	"PTP4A1"
"M1"	"GABBR2"	"SNX5"
"M1"	"GABRB3"	"PIK3CA"
"M1"	"GABRB3"	"ANAPC7"
"M1"	"GABRB3"	"PID1"
"M1"	"GABRB3"	"PIWIL2"
"M1"	"GABRB3"	"PRDX5"
"M1"	"GABRB3"	"KPNA3"
"M1"	"GABRB3"	"AMIGO3"
"M1"	"GABRB3"	"PHF8"
"M1"	"GABRB3"	"CUL7"
"M1"	"GABRB3"	"BCAR3"
"M1"	"GABRB3"	"SNRNP27"
"M1"	"GABRB3"	"REV1"
"M1"	"GABRB3"	"FBXO30"
"M1"	"GABRB3"	"ZFP91"
"M1"	"GABRB3"	"SLC12A2"
"M1"	"GABRB3"	"NFIB"
"M1"	"GABRB3"	"ZFR"
"M1"	"GABRB3"	"CBL"
"M1"	"GABRB3"	"TAPBP"
"M1"	"GABRB3"	"PPL"
"M1"	"GABRB3"	"ZCCHC11"
"M1"	"GABRB3"	"KLC2"
"M1"	"GABRB3"	"SKI"
"M1"	"GABRB3"	"KIF20A"
"M1"	"GABRB3"	"GPC3"
"M1"	"GABRB3"	"ACKR3"
"M1"	"GABRB3"	"FZD4"
"M1"	"GABRB3"	"SOX6"
"M1"	"GABRB3"	"TUBA1C"
"M1"	"GABRB3"	"MYO16"
"M1"	"GABRB3"	"KIFC1"
"M1"	"GABRB3"	"CRY1"
"M1"	"GABRB3"	"FAIM2"
"M1"	"GABRB3"	"ADRB2"
"M1"	"GABRB3"	"CCR4"
"M1"	"GABRB3"	"NEIL1"
"M1"	"GABRB3"	"IRF2BPL"
"M1"	"GABRB3"	"CRIPT"
"M1"	"GABRB3"	"SLC1A1"
"M1"	"GABRB3"	"PRKAB2"
"M1"	"GABRB3"	"KLHDC9"
"M1"	"GABRB3"	"NCBP2"
"M1"	"GABRB3"	"PRF1"
"M1"	"GABRB3"	"VPS28"
"M1"	"GABRB3"	"CSRP3"
"M1"	"GABRB3"	"CTBS"
"M1"	"GABRB3"	"CSPG4"
"M1"	"GABRB3"	"MPPED1"
"M1"	"GABRB3"	"FOLR3"
"M1"	"GABRB3"	"PTP4A1"
"M1"	"GABRB3"	"CASP3"
"M1"	"GABRB3"	"SIPA1L3"
"M1"	"GABRB3"	"RINT1"
"M1"	"GABRB3"	"BNIP3L"
"M1"	"GABRB3"	"NRARP"
"M1"	"GABRB3"	"RAB5B"
"M1"	"GABRB3"	"PLK2"
"M1"	"GABRB3"	"MECR"
"M1"	"GABRB3"	"FBLIM1"
"M1"	"GABRB3"	"RHOG"
"M1"	"GABRB3"	"MAVS"
"M1"	"GABRB3"	"REG1A"
"M1"	"GABRB3"	"MST1R"
"M1"	"GABRB3"	"CYP11A1"
"M1"	"GABRB3"	"IL1RAP"
"M1"	"GABRB3"	"TEP1"
"M1"	"GABRB3"	"C6"
"M1"	"GABRB3"	"NMT2"
"M1"	"GABRB3"	"S100A13"
"M1"	"GABRB3"	"DGCR14"
"M1"	"MAP4K2"	"PLK2"
"M1"	"ZNF382"	"SNCG"
"M1"	"ZNF382"	"PTP4A1"
"M1"	"ZNF382"	"FAM83C"
"M1"	"ZNF382"	"PSMD5"
"M1"	"CASP1"	"PLK2"
"M1"	"NPHP3"	"SEMA3A"
"M1"	"CGB"	"GRIN2B"
"M1"	"GRIA2"	"NAA16"
"M1"	"GRIA2"	"FGF8"
"M1"	"GRIA2"	"CIZ1"
"M1"	"GRIA2"	"TMED1"
"M1"	"GRIA2"	"BHLHB9"
"M1"	"GRIA2"	"CBLL1"
"M1"	"GRIA2"	"CTBS"
"M1"	"GRIA2"	"PTP4A1"
"M1"	"GRIA2"	"MYO1G"
"M1"	"GRIA2"	"ATP9A"
"M1"	"GRIA2"	"P2RY4"
"M1"	"GRIA2"	"RRM2"
"M1"	"GRIA2"	"UNC50"
"M1"	"GRIA2"	"SLC4A11"
"M1"	"GRIA2"	"NRL"
"M1"	"GRIA2"	"ZBTB11"
"M1"	"GRIA2"	"ADAM11"
"M1"	"GRIA2"	"UBAC2"
"M1"	"MTX2"	"EPHA3"
"M1"	"JPH1"	"GRM5"
"M1"	"JPH1"	"AP3S2"
"M1"	"JPH1"	"TRO"
"M1"	"JPH1"	"AHRR"
"M1"	"JPH1"	"CBLL1"
"M1"	"JPH1"	"CTBS"
"M1"	"JPH1"	"MPPED1"
"M1"	"JPH1"	"PTP4A1"
"M1"	"JPH1"	"CBFB"
"M1"	"JPH1"	"CPNE2"
"M1"	"JPH1"	"CRYAB"
"M1"	"FBXO33"	"EPCAM"
"M1"	"SERPINB3"	"INHA"
"M1"	"SERPINB3"	"TENM2"
"M1"	"OAZ1"	"ELAVL2"
"M1"	"DDX20"	"MLLT11"
"M1"	"SFTPD"	"UNC5D"
"M1"	"GFM1"	"TBR1"
"M1"	"GFM1"	"HPRT1"
"M1"	"PPM1E"	"FKBP7"
"M1"	"PPM1E"	"CDH8"
"M1"	"PPM1E"	"KDM5B"
"M1"	"PPM1E"	"ISL2"
"M1"	"PPM1E"	"BCL11B"
"M1"	"PPM1E"	"GJB3"
"M1"	"PPM1E"	"SNCB"
"M1"	"PPM1E"	"TBXA2R"
"M1"	"PPM1E"	"MIIP"
"M1"	"PPM1E"	"DBR1"
"M1"	"PPM1E"	"RPS3A"
"M1"	"GNAT3"	"PTPN5"
"M1"	"GNAT3"	"EPHA3"
"M1"	"MMP2"	"PPL"
"M1"	"MMP2"	"ELOVL4"
"M1"	"MMP2"	"INHA"
"M1"	"MMP2"	"MLLT11"
"M1"	"NIPSNAP1"	"WIF1"
"M1"	"NIPSNAP1"	"TRHDE"
"M1"	"NIPSNAP1"	"HPRT1"
"M1"	"NIPSNAP1"	"PLK2"
"M1"	"CTSB"	"PLK2"
"M1"	"OLFM3"	"MMP8"
"M1"	"OLFM3"	"FLT3"
"M1"	"OLFM3"	"PVRL3"
"M1"	"OLFM3"	"FCN1"
"M1"	"OLFM3"	"LIN37"
"M1"	"OLFM3"	"PPP2R5E"
"M1"	"OLFM3"	"PTP4A1"
"M1"	"OLFM3"	"ARHGAP5"
"M1"	"OLFM3"	"AIMP2"
"M1"	"OLFM3"	"PSMB7"
"M1"	"OLFM3"	"RAB5A"
"M1"	"OLFM3"	"TMEM167B"
"M1"	"OLFM3"	"CCNA2"
"M1"	"OLFM3"	"TCEA1"
"M1"	"OLFM3"	"MEI1"
"M1"	"OLFM3"	"TVP23C"
"M1"	"OLFM3"	"PAQR7"
"M1"	"OLFM3"	"POMT2"
"M1"	"OLFM3"	"FBXO46"
"M1"	"OLFM3"	"TRIM35"
"M1"	"MUC1"	"RET"
"M1"	"MUC1"	"XK"
"M1"	"MUC1"	"VPS13A"
"M1"	"DCX"	"DOK6"
"M1"	"DCX"	"LDB2"
"M1"	"DBF4B"	"PPL"
"M1"	"DBF4B"	"IPCEF1"
"M1"	"HIRIP3"	"NEGR1"
"M1"	"HIRIP3"	"KCNV1"
"M1"	"HIRIP3"	"EPHA3"
"M1"	"APH1B"	"CDH8"
"M1"	"APH1B"	"PLK2"
"M1"	"APH1B"	"EPHA3"
"M1"	"SLC2A3"	"RIMBP2"
"M1"	"NEDD4L"	"SEMA3A"
"M1"	"LNX1"	"USP17L2"
"M1"	"LNX1"	"WNT3A"
"M1"	"LNX1"	"TROAP"
"M1"	"LNX1"	"TLE4"
"M1"	"LNX1"	"BEX1"
"M1"	"LNX1"	"TGFB2"
"M1"	"LNX1"	"CLDN1"
"M1"	"LNX1"	"NMT2"
"M1"	"LNX1"	"MBD3L2"
"M1"	"LNX1"	"HDAC4"
"M1"	"LNX1"	"TRMT61A"
"M1"	"LNX1"	"SMG1"
"M1"	"LNX1"	"PNOC"
"M1"	"CASC1"	"EPHA3"
"M1"	"HSF1"	"VIP"
"M1"	"HSF1"	"GRM5"
"M1"	"HSF1"	"NRXN3"
"M1"	"ESRRG"	"GCGR"
"M1"	"ESRRG"	"FOLR3"
"M1"	"ESRRG"	"RHOC"
"M1"	"ESRRG"	"EXTL1"
"M1"	"ESRRG"	"PHACTR2"
"M1"	"ESRRG"	"PSG9"
"M1"	"ESRRG"	"HS3ST3A1"
"M1"	"ESRRG"	"DHRS12"
"M1"	"ESRRG"	"MSLN"
"M1"	"ESRRG"	"PNOC"
"M1"	"TNNT2"	"RPL38"
"M1"	"TNNT2"	"STAP2"
"M1"	"TNNT2"	"PTP4A1"
"M1"	"TNNT2"	"ANXA11"
"M1"	"TNNT2"	"POLR2D"
"M1"	"TNNT2"	"OR8H2"
"M1"	"TNNT2"	"MAGEH1"
"M1"	"TNNT2"	"PLEKHD1"
"M1"	"TNNT2"	"UHRF1BP1"
"M1"	"TNNT2"	"LGALS4"
"M1"	"TNNT2"	"CSE1L"
"M1"	"OPRK1"	"MNT"
"M1"	"OPRK1"	"ITGA8"
"M1"	"OPRK1"	"DVL3"
"M1"	"OPRK1"	"CSF2"
"M1"	"OPRK1"	"PPP2R3B"
"M1"	"OPRK1"	"FOLR3"
"M1"	"OPRK1"	"PTP4A1"
"M1"	"OPRK1"	"MT1F"
"M1"	"OPRK1"	"DTX3"
"M1"	"OPRK1"	"CTDSPL"
"M1"	"TRAPPC3L"	"SCN2A"
"M1"	"TRAPPC3L"	"XK"
"M1"	"TRAPPC3L"	"GRIN2B"
"M1"	"CDK8"	"LDB2"
"M1"	"F5"	"INA"
"M1"	"F5"	"SSTR1"
"M1"	"F5"	"EPHA5"
"M1"	"F5"	"NEGR1"
"M1"	"F5"	"EPHA3"
"M1"	"GPLD1"	"HAO2"
"M1"	"GPLD1"	"PTP4A1"
"M1"	"GPLD1"	"RRAGA"
"M1"	"GPLD1"	"KLHL21"
"M1"	"GPLD1"	"CFHR3"
"M1"	"GPLD1"	"SLC10A2"
"M1"	"GPLD1"	"SWAP70"
"M1"	"GPLD1"	"TUBGCP6"
"M1"	"GPLD1"	"RFWD3"
"M1"	"GPLD1"	"ACSL6"
"M1"	"GPLD1"	"CCDC74B"
"M1"	"GPLD1"	"ABCB4"
"M1"	"GPLD1"	"ORC6"
"M1"	"GPLD1"	"MOBP"
"M1"	"ZNF202"	"PDP1"
"M1"	"ZNF202"	"PPL"
"M1"	"ZNF202"	"RIMBP2"
"M1"	"CORT"	"MLLT11"
"M1"	"TUBB2A"	"SNAPC4"
"M1"	"TUBB2A"	"FDFT1"
"M1"	"TUBB2A"	"TRIM63"
"M1"	"TUBB2A"	"EGR2"
"M1"	"TUBB2A"	"COL5A1"
"M1"	"ARHGAP26"	"PLK2"
"M1"	"COMMD5"	"PLK2"
"M1"	"DNM2"	"MLLT11"
"M1"	"TBR1"	"A1BG"
"M1"	"TBR1"	"TIAM1"
"M1"	"TBR1"	"ATP13A1"
"M1"	"TBR1"	"JOSD1"
"M1"	"TBR1"	"HOPX"
"M1"	"TBR1"	"LAD1"
"M1"	"TBR1"	"GOLGA7"
"M1"	"TBR1"	"MYO1G"
"M1"	"DDX39A"	"ADAM23"
"M1"	"F13A1"	"MLLT11"
"M1"	"RMND5B"	"TRHDE"
"M1"	"RMND5B"	"HPRT1"
"M1"	"RMND5B"	"RIMBP2"
"M1"	"KCNC2"	"MORF4L2"
"M1"	"KCNC2"	"HAS3"
"M1"	"KCNC2"	"SPRY1"
"M1"	"KCNC2"	"RFX5"
"M1"	"KCNC2"	"HRAS"
"M1"	"KCNC2"	"SNED1"
"M1"	"KCNC2"	"CALB1"
"M1"	"KCNC2"	"MRPS25"
"M1"	"KCNC2"	"RHEB"
"M1"	"KCNC2"	"ZNF131"
"M1"	"KCNC2"	"NPM3"
"M1"	"KCNC2"	"DPYSL3"
"M1"	"KCNC2"	"IGFALS"
"M1"	"KCNC2"	"VPS28"
"M1"	"KCNC2"	"TCF24"
"M1"	"KCNC2"	"FBL"
"M1"	"KCNC2"	"BCAM"
"M1"	"KCNC2"	"YTHDC1"
"M1"	"KCNC2"	"SON"
"M1"	"KCNC2"	"TDRD7"
"M1"	"KCNC2"	"IVNS1ABP"
"M1"	"OLFML3"	"ADAM23"
"M1"	"ANAPC15"	"GRM1"
"M1"	"RGS4"	"MIA3"
"M1"	"RGS4"	"DOCK4"
"M1"	"RGS4"	"TXNL1"
"M1"	"RGS4"	"KCNS3"
"M1"	"RGS4"	"HPRT1"
"M1"	"RGS4"	"SPDEF"
"M1"	"RGS4"	"PTP4A1"
"M1"	"RGS4"	"DEDD"
"M1"	"RGS4"	"RHPN2"
"M1"	"RGS4"	"LPP"
"M1"	"RGS4"	"WSB2"
"M1"	"RGS4"	"MYO1G"
"M1"	"RGS4"	"SUPT6H"
"M1"	"RGS4"	"AP3B1"
"M1"	"RGS4"	"LCT"
"M1"	"RGS4"	"GOT1"
"M1"	"IKZF2"	"CDK5R2"
"M1"	"GDI2"	"RIMBP2"
"M1"	"GDI2"	"EPHA3"
"M1"	"AGTRAP"	"EPN3"
"M1"	"AGTRAP"	"VPS13A"
"M1"	"HAND1"	"HCN1"
"M1"	"HAND1"	"LDB2"
"M1"	"HAND1"	"MLIP"
"M1"	"RXFP2"	"RTN1"
"M1"	"MAP2K3"	"HCN1"
"M1"	"MAP2K3"	"EPCAM"
"M1"	"MAP2K3"	"MLLT11"
"M1"	"TRIP4"	"EPN3"
"M1"	"PAK3"	"IGFALS"
"M1"	"PAK3"	"PTP4A1"
"M1"	"PAK3"	"HIST3H3"
"M1"	"PAK3"	"FBXO4"
"M1"	"PAK3"	"CORO2B"
"M1"	"PAK3"	"HELLS"
"M1"	"PAK3"	"DHRS13"
"M1"	"PAK3"	"COL9A2"
"M1"	"PAK3"	"FAM173A"
"M1"	"RPF2"	"DLGAP1"
"M1"	"RPF2"	"PTPN3"
"M1"	"GCLC"	"NEGR1"
"M1"	"GCLC"	"SEMA3A"
"M1"	"TBC1D9"	"RGPD6"
"M1"	"TBC1D9"	"PLCL2"
"M1"	"TBC1D9"	"ITGAL"
"M1"	"TBC1D9"	"GZMM"
"M1"	"TBC1D9"	"ERBB2"
"M1"	"TBC1D9"	"PTP4A1"
"M1"	"TBC1D9"	"DOK1"
"M1"	"TBC1D9"	"MEOX1"
"M1"	"TBC1D9"	"BABAM1"
"M1"	"TBC1D9"	"KCNJ15"
"M1"	"TBC1D9"	"CEP85"
"M1"	"TBC1D9"	"TYR"
"M1"	"TBC1D9"	"INPP5F"
"M1"	"TBC1D9"	"COL9A3"
"M1"	"CHML"	"CEP72"
"M1"	"CHML"	"PSMB3"
"M1"	"CHML"	"MAPRE3"
"M1"	"CHML"	"NAV1"
"M1"	"CHML"	"SLC27A6"
"M1"	"CHML"	"RAPSN"
"M1"	"CHML"	"KATNBL1"
"M1"	"CHML"	"UBE2G2"
"M1"	"PGF"	"DRD1"
"M1"	"PGF"	"CDK5R2"
"M1"	"PGF"	"VPS13A"
"M1"	"MTMR7"	"CD59"
"M1"	"MTMR7"	"A1BG"
"M1"	"MTMR7"	"FOLR3"
"M1"	"MTMR7"	"PTP4A1"
"M1"	"MTMR7"	"M6PR"
"M1"	"MTMR7"	"MTHFD2"
"M1"	"MTMR7"	"SOCS2"
"M1"	"RBAK"	"PRKAR2B"
"M1"	"WWC2"	"HPRT1"
"M1"	"WWC2"	"CHL1"
"M1"	"ERC2"	"TP53INP1"
"M1"	"ERC2"	"IMPA1"
"M1"	"ERC2"	"KIT"
"M1"	"ERC2"	"GJD4"
"M1"	"ERC2"	"AP3S2"
"M1"	"ERC2"	"PPAP2B"
"M1"	"ERC2"	"SH3GLB1"
"M1"	"ERC2"	"KDM3A"
"M1"	"ERC2"	"PAFAH1B3"
"M1"	"ERC2"	"FAM117B"
"M1"	"ERC2"	"RPL4"
"M1"	"ERC2"	"SMCP"
"M1"	"CADPS"	"PTN"
"M1"	"CADPS"	"EBNA1BP2"
"M1"	"CADPS"	"GSTM2"
"M1"	"CADPS"	"SORBS2"
"M1"	"CADPS"	"TWSG1"
"M1"	"CADPS"	"ZBTB37"
"M1"	"CADPS"	"ANKRD50"
"M1"	"CADPS"	"CDH13"
"M1"	"NPY1R"	"TBC1D8"
"M1"	"NPY1R"	"PGR"
"M1"	"NPY1R"	"GAS1"
"M1"	"NPY1R"	"CDH8"
"M1"	"NPY1R"	"KPNA3"
"M1"	"NPY1R"	"PRKAA2"
"M1"	"NPY1R"	"PRX"
"M1"	"NPY1R"	"MAL2"
"M1"	"NPY1R"	"CAMK2A"
"M1"	"NPY1R"	"CCDC42"
"M1"	"NPY1R"	"FAIM2"
"M1"	"NPY1R"	"APBB1IP"
"M1"	"NPY1R"	"CSRP3"
"M1"	"NPY1R"	"CDH3"
"M1"	"NPY1R"	"MPZL1"
"M1"	"NPY1R"	"MPPED1"
"M1"	"NPY1R"	"PTP4A1"
"M1"	"NPY1R"	"C4BPA"
"M1"	"NPY1R"	"RGL2"
"M1"	"NPY1R"	"NRARP"
"M1"	"NPY1R"	"MLLT6"
"M1"	"NPY1R"	"BIRC7"
"M1"	"NPY1R"	"SDCCAG8"
"M1"	"NPY1R"	"ULBP2"
"M1"	"NPY1R"	"REG1A"
"M1"	"NPY1R"	"PSMB1"
"M1"	"NPY1R"	"STON2"
"M1"	"NPY1R"	"OLIG3"
"M1"	"NPY1R"	"PEX2"
"M1"	"NPY1R"	"CYP11A1"
"M1"	"NPY1R"	"NMT2"
"M1"	"NPY1R"	"FCER1A"
"M1"	"NPY1R"	"HSPA2"
"M1"	"NPY1R"	"SRR"
"M1"	"NPY1R"	"SCEL"
"M1"	"NPY1R"	"CLCA1"
"M1"	"NPY1R"	"MPDZ"
"M1"	"NPY1R"	"NTRK2"
"M1"	"NPY1R"	"ELAVL2"
"M1"	"NPY1R"	"SLC16A4"
"M1"	"NPY1R"	"TNFRSF11B"
"M1"	"NPY1R"	"PCDHA6"
"M1"	"NPY1R"	"GPSM3"
"M1"	"NPY1R"	"EP400"
"M1"	"NPY1R"	"HTRA2"
"M1"	"NPY1R"	"TMEM55B"
"M1"	"NPY1R"	"VAMP1"
"M1"	"SUPT16H"	"TPBG"
"M1"	"SUPT16H"	"HPRT1"
"M1"	"PCGF3"	"VSNL1"
"M1"	"PCGF3"	"GRM5"
"M1"	"GSK3B"	"GULP1"
"M1"	"GSK3B"	"EPHA3"
"M1"	"NUDT19"	"CBLN4"
"M1"	"CRAT"	"CAMK2D"
"M1"	"CRAT"	"PLK2"
"M1"	"ARL2BP"	"PLK2"
"M1"	"TRIM40"	"GULP1"
"M1"	"TRIM40"	"EPHA3"
"M1"	"GZMA"	"RAB3C"
"M1"	"GZMA"	"CNKSR2"
"M1"	"GZMA"	"EPHA3"
"M1"	"SPHK1"	"SNAP25"
"M1"	"DNA2"	"VIP"
"M1"	"DNA2"	"ZNF804A"
"M1"	"SLBP"	"ZCCHC12"
"M1"	"SLBP"	"LDB2"
"M1"	"SLBP"	"PCDH7"
"M1"	"SLIT3"	"PPP4R4"
"M1"	"TEAD1"	"WIF1"
"M1"	"TEAD1"	"EPHA3"
"M1"	"ITCH"	"PTPN3"
"M1"	"OCA2"	"GPS1"
"M1"	"OCA2"	"SUB1"
"M1"	"OCA2"	"PCID2"
"M1"	"OCA2"	"VAMP3"
"M1"	"OCA2"	"PTP4A1"
"M1"	"OCA2"	"SMG8"
"M1"	"OCA2"	"BMP15"
"M1"	"OCA2"	"TTLL4"
"M1"	"OCA2"	"AEN"
"M1"	"OCA2"	"NTMT1"
"M1"	"OCA2"	"TWSG1"
"M1"	"OCA2"	"TMA16"
"M1"	"OCA2"	"COL23A1"
"M1"	"OCA2"	"PM20D2"
"M1"	"WDR7"	"RIMBP2"
"M1"	"WDR7"	"RTN1"
"M1"	"MYH7"	"SYP"
"M1"	"MYH7"	"CDH18"
"M1"	"GDAP1"	"CCNO"
"M1"	"GDAP1"	"SDK1"
"M1"	"GDAP1"	"KLHDC9"
"M1"	"GDAP1"	"FOLR3"
"M1"	"GDAP1"	"PTP4A1"
"M1"	"GDAP1"	"ADORA2A"
"M1"	"GDAP1"	"CBX1"
"M1"	"GDAP1"	"H3F3A"
"M1"	"GDAP1"	"CLDND1"
"M1"	"GDAP1"	"CCIN"
"M1"	"C1GALT1C1"	"SHANK2"
"M1"	"TOP1MT"	"RIMBP2"
"M1"	"TOP1MT"	"LDB2"
"M1"	"MRPS5"	"SEMA3A"
"M1"	"PRKAR1A"	"SCN1A"
"M1"	"PRKAR1A"	"SULT4A1"
"M1"	"TNFRSF9"	"ITPR1"
"M1"	"TNFRSF9"	"PLCB1"
"M1"	"TNFRSF9"	"PCDH7"
"M1"	"GGA3"	"EPHA3"
"M1"	"TPPP"	"PCDH7"
"M1"	"SYN3"	"PI4K2A"
"M1"	"SYN3"	"CHMP3"
"M1"	"SYN3"	"ABCE1"
"M1"	"SYN3"	"PDCD5"
"M1"	"SYN3"	"CDKN2A"
"M1"	"SYN3"	"UBA1"
"M1"	"SYN3"	"LRPAP1"
"M1"	"SYN3"	"CSRNP1"
"M1"	"SYN3"	"IL3"
"M1"	"SYN3"	"KIFC1"
"M1"	"SYN3"	"PTP4A1"
"M1"	"SYN3"	"ATP5G3"
"M1"	"SYN3"	"METTL9"
"M1"	"SYN3"	"CDC25B"
"M1"	"SYN3"	"RHPN2"
"M1"	"SYN3"	"FCER2"
"M1"	"SYN3"	"PTN"
"M1"	"SYN3"	"SCAMP1"
"M1"	"SYN3"	"CHD6"
"M1"	"SYN3"	"KALRN"
"M1"	"SYN3"	"FAM69B"
"M1"	"SYN3"	"MROH8"
"M1"	"SYN3"	"PEX1"
