"genes"	"modules"
"MYT1L"	"M1"
"ADAMTS4"	"M3"
"CD14"	"M2"
"HMGCS1"	"M1"
"MT-TY"	"Not.Correlated"
"PDP1"	"M1"
"KLHL32"	"M3"
"CRYM"	"M1"
"PNMA3"	"M1"
"PIK3C2A"	"M2"
"PTPRT"	"M1"
"GRIN2B"	"M1"
"FCGR3A"	"M2"
"HERC2P3"	"M2"
"FOXG1"	"M1"
"SOCS3"	"M2"
"CD163"	"M2"
"MTND2P28"	"Not.Correlated"
"EDNRB"	"M2"
"EPHA4"	"M1"
"SLC39A10"	"M1"
"XIST"	"Not.Correlated"
"THRB"	"M1"
"ARFGEF2"	"M2"
"EVI2A"	"M3"
"GABRA1"	"M1"
"ATL1"	"M1"
"PLK2"	"M1"
"FRMD4B"	"M3"
"GDAP1"	"M1"
"DDR1"	"M2"
"PDE1A"	"M1"
"PTER"	"M1"
"PCSK6"	"M3"
"PAK3"	"M1"
"NEFH"	"M1"
"IPCEF1"	"M1"
"GABRG2"	"M1"
"SEMA6D"	"M2"
"SVOP"	"M1"
"CACNA1B"	"M1"
"GABRB2"	"M1"
"GNG2"	"M1"
"SLC45A3"	"M3"
"OXR1"	"M1"
"FNDC3A"	"M2"
"CD200"	"M1"
"ELAVL4"	"M1"
"CHRM1"	"M1"
"HHIP"	"M3"
"KCNJ4"	"M1"
"MIR219A2HG"	"M3"
"GABRD"	"M1"
"PLPPR4"	"M1"
"GABRA2"	"M1"
"ABCB1"	"M2"
"SLC11A1"	"M2"
"PCLO"	"M1"
"RPS28P7"	"Not.Correlated"
"NAP1L2"	"M1"
"AZGP1"	"Not.Correlated"
"LRP1B"	"M2"
"GAD1"	"M1"
"PANK3"	"M2"
"PIEZO2"	"M3"
"BTAF1"	"M2"
"MAP7D2"	"M1"
"SIK1"	"M2"
"GPRASP2"	"M1"
"CAMK1G"	"M1"
"TBR1"	"M1"
"MTPN"	"M2"
"SLC39A12"	"M2"
"DMXL2"	"M1"
"CDK5R2"	"M1"
"PRKAR2B"	"M1"
"CHORDC1"	"M2"
"KDM5D"	"Not.Correlated"
"ITPR2"	"M2"
"PARM1"	"M1"
"CP"	"M2"
"ATP8A2"	"M1"
"PRRG1"	"M3"
"RIMBP2"	"M1"
"SHANK2"	"M1"
"RANBP3L"	"M2"
"CFH"	"M2"
"SLC4A10"	"M1"
"KIAA1107"	"M1"
"TASOR2"	"M2"
"TSPAN13"	"M1"
"ATP2B3"	"M1"
"SLC6A7"	"M1"
"SLC30A3"	"M1"
"NSG1"	"M1"
"LDB2"	"M1"
"ENPP4"	"M2"
"NBEA"	"M1"
"PCDH7"	"M1"
"ARRDC3"	"M2"
"RORB"	"M1"
"SLC8A1"	"M1"
"S100A9"	"M2"
"GJB1"	"M3"
"KCNS1"	"M1"
"PTPRG"	"M2"
"PLSCR4"	"M2"
"PCSK2"	"M1"
"TMEM106B"	"M2"
"FTO"	"M2"
"LMO7"	"M1"
"ICAM5"	"M1"
"RELN"	"M3"
"FGF12"	"M1"
"DDX3Y"	"Not.Correlated"
"CASD1"	"M1"
"SLC25A46"	"M1"
"NRXN3"	"M1"
"DMXL1"	"M2"
"PLCB1"	"M1"
"HLA-DRB1"	"Not.Correlated"
"ACSL4"	"M2"
"NCOA2"	"M2"
"LRRTM2"	"M1"
"EMP1"	"M2"
"ANXA1"	"M2"
"REEP3"	"M3"
"PLXNA4"	"M1"
"LDB3"	"M3"
"CACNA2D1"	"M1"
"CTNNA3"	"M3"
"RASA1"	"M1"
"MAGEE1"	"M1"
"KCNIP4"	"M1"
"MOG"	"M3"
"CYBB"	"M2"
"ABCA1"	"M2"
"ARHGAP29"	"M2"
"ELMOD1"	"M1"
"GLRB"	"M1"
"MTND1P23"	"Not.Correlated"
"WASHC4"	"M2"
"SC5D"	"M2"
"HPRT1"	"M1"
"GREM1"	"M3"
"CDH13"	"M1"
"SNX10"	"M1"
"SERPINA1"	"M2"
"SLC6A15"	"M1"
"BEX5"	"M1"
"PHC3"	"M2"
"NCEH1"	"M1"
"TBC1D14"	"M2"
"CNR1"	"M1"
"CX3CR1"	"M2"
"HLA-E"	"M2"
"HILPDA"	"Not.Correlated"
"VPS13A"	"M1"
"ENOSF1"	"M3"
"SPTLC1"	"M2"
"TANC1"	"M2"
"ERC2"	"M1"
"LRRK2"	"M2"
"KCNE4"	"M2"
"SLC7A14"	"M1"
"KCNQ5"	"M1"
"TOGARAM1"	"M2"
"TUSC3"	"M1"
"UFL1"	"M2"
"ADAMTS9"	"M2"
"TMED7"	"M2"
"RB1"	"M2"
"OSBPL8"	"M2"
"SCN1A"	"M1"
"SGTB"	"M1"
"CALB2"	"M1"
"GADD45A"	"M2"
"TRAM1"	"M2"
"RPL10P3"	"Not.Correlated"
"NFAT5"	"M2"
"COL4A1"	"M2"
"SH3TC2"	"M3"
"NAMPT"	"M2"
"DOK6"	"M1"
"RAB5B"	"M2"
"NT5C2"	"M2"
"LMBRD2"	"M1"
"MED23"	"M2"
"HSPA4L"	"M2"
"CHRM3"	"M1"
"C21orf91"	"M3"
"MOSPD2"	"M3"
"KDM6A"	"M2"
"FGF13"	"M1"
"KCTD16"	"M1"
"HLA-C"	"Not.Correlated"
"THNSL2"	"Not.Correlated"
"MYSM1"	"M2"
"HSPA13"	"M2"
"PKN2"	"M2"
"MS4A6A"	"M2"
"STXBP5L"	"M1"
"VSTM2A"	"M1"
"SLCO1C1"	"M2"
"LTN1"	"M2"
"TBC1D9"	"M1"
"DENND4C"	"M2"
"IL1RL1"	"M2"
"SLC26A4-AS1"	"M1"
"AIDAP2"	"M3"
"CACNB4"	"M1"
"RFPL1S"	"M1"
"SEC23A"	"M2"
"CSRNP3"	"M1"
"KCNC2"	"M1"
"CEP170"	"M2"
"KCNJ3"	"M1"
"CXCR4"	"Not.Correlated"
"RGS7"	"M1"
"CKMT1B"	"M1"
"RPL9"	"Not.Correlated"
"PDPR"	"M2"
"GOLGA8B"	"M1"
"S100A8"	"M2"
"LGR4"	"M2"
"ALOX5AP"	"M2"
"C11orf87"	"M1"
"FOLH1"	"M3"
"CTSS"	"M2"
"IFI44L"	"M2"
"STEAP2"	"M1"
"GPR158"	"M1"
"PAX8-AS1"	"Not.Correlated"
"ISLR2"	"M1"
"PLSCR1"	"M2"
"LACC1"	"M3"
"CUX2"	"M1"
"ZBTB11"	"M2"
"ERICH3"	"M1"
"GPR4"	"M2"
"TMEM125"	"M3"
"CTSC"	"M2"
"CHRNB2"	"M1"
"CLVS2"	"M1"
"HECW1"	"M1"
"FAT3"	"M1"
"MYOF"	"M2"
"PTPRC"	"M2"
"GALNT6"	"M3"
"HLA-A"	"Not.Correlated"
"HS3ST2"	"M1"
"ELAVL2"	"M1"
"MIGA1"	"M2"
"MCTP1"	"M1"
"HAMP"	"M2"
"FPR1"	"M2"
"GRIN2A"	"M1"
"HLA-DRA"	"M2"
"LNPEP"	"M2"
"WIF1"	"M1"
"TENM2"	"M1"
"LPCAT2"	"M2"
"MAL2"	"M1"
"CPNE4"	"M1"
"ZBTB16"	"M2"
"VGF"	"M1"
"BCL9L"	"M2"
"RORA"	"M2"
"IP6K3"	"M3"
"C3AR1"	"M2"
"ANGPT2"	"M2"
"FGD2"	"M2"
"SCN8A"	"M1"
"SCN3A"	"M1"
"CAVIN2"	"M2"
"WWC2"	"M2"
"USP53"	"M2"
"TTR"	"Not.Correlated"
"FCGR2A"	"M2"
"HLA-DRB5"	"Not.Correlated"
"FRMPD4"	"M1"
"TNC"	"M3"
"IMPA1"	"M1"
"KSR2"	"M1"
"DGKB"	"M1"
"RASA2"	"M2"
"DOCK8"	"M2"
"ZCCHC12"	"M1"
"HBA2"	"Not.Correlated"
"USP9Y"	"Not.Correlated"
"ZBTB41"	"M2"
"CDH8"	"M1"
"CDH19"	"M3"
"IL1R1"	"M2"
"LYVE1"	"M2"
"SCIN"	"M2"
"ITPR3"	"M2"
"AASS"	"M2"
"PTPRJ"	"M2"
"SMIM43"	"M1"
"CHI3L2"	"Not.Correlated"
"PROX1"	"M3"
"SENP7"	"M2"
"ADM"	"Not.Correlated"
"SLC12A6"	"M2"
"CAPN3"	"M3"
"LIG4"	"M2"
"MT-TM"	"M1"
"TLR2"	"M2"
"PAQR3"	"M2"
"PHACTR1"	"M1"
"PTPRO"	"M1"
"LRFN5"	"M1"
"CTSO"	"M2"
"GAD2"	"M1"
"PLCXD3"	"M1"
"C2orf80"	"M1"
"KCNA1"	"M1"
"ABCC9"	"M2"
"CD93"	"M2"
"EGR3"	"M1"
"CECR2"	"M2"
"NID1"	"M2"
"RGR"	"Not.Correlated"
"EEA1"	"M2"
"CLCA4"	"M3"
"ENPP5"	"M1"
"HK2"	"M2"
"OLR1"	"M2"
"LINC02607"	"M1"
"MET"	"M1"
"SLC2A13"	"M1"
"EDN1"	"M2"
"RAB3B"	"M1"
"HSPG2"	"M2"
"ITGA2"	"M3"
"STXBP5"	"M1"
"NUDT11"	"M1"
"PPP4R4"	"M1"
"GIMAP6"	"M2"
"DSE"	"M2"
"CEPT1"	"M2"
"NGFR"	"M3"
"DOCK2"	"M2"
"AKAP5"	"M1"
"MRAP2"	"M1"
"PEAR1"	"M2"
"KLK7"	"M1"
"ADAM28"	"M2"
"SSTR1"	"M1"
"WDR17"	"M1"
"F13A1"	"M2"
"ITPRIPL2"	"M2"
"EFR3B"	"M2"
"ADAMTS14"	"M3"
"DPY19L4"	"M2"
"HPS3"	"M2"
"GEM"	"M2"
"MICU3"	"M1"
"RASGRP1"	"M1"
"LRRTM1"	"M1"
"ZDBF2"	"M1"
"B4GALT6"	"M1"
"PPL"	"M1"
"PCDH19"	"M1"
"NPY1R"	"M1"
"CIITA"	"M2"
"GFRA2"	"M1"
"SIDT1"	"M1"
"NRIP1"	"M2"
"DAAM2-AS1"	"M2"
"P2RY12"	"M2"
"IRAK3"	"M2"
"ABCA6"	"M3"
"FAT4"	"M2"
"TAFA2"	"M1"
"NELL1"	"M1"
"LRTM2"	"M1"
"GALNT7"	"M2"
"KCNA6"	"M2"
"LGR5"	"M3"
"ANO3"	"M1"
"HTR2A"	"M1"
"ST6GALNAC5"	"M1"
"MT-TI"	"Not.Correlated"
"BBS10"	"M2"
"ASAP2"	"M2"
"FOXJ1"	"Not.Correlated"
"MTRNR2L2"	"Not.Correlated"
"CPVL"	"M2"
"TM4SF18"	"M2"
"GPR137C"	"M1"
"RAB27B"	"M1"
"RSPO2"	"M1"
"PNMA5"	"M1"
"DPYD"	"M2"
"KCNV1"	"M1"
"TYMP"	"M2"
"MS4A7"	"M2"
"IL33"	"M2"
"KLF4"	"M2"
"MAN1A1"	"M2"
"HCN1"	"M1"
"SFRP2"	"M2"
"CRYBG3"	"M2"
"HECTD2"	"M1"
"PTPN3"	"M1"
"RASL11B"	"M1"
"SELL"	"M2"
"ZNF770"	"M2"
"GABRA4"	"M1"
"ENPP6"	"M3"
"RPL13P12"	"Not.Correlated"
"HAGLR"	"M3"
"MTCO2P12"	"Not.Correlated"
"CD84"	"M2"
"ELOVL4"	"M1"
"RGS7BP"	"M1"
"NEUROD6"	"M1"
"HLA-DPA1"	"M2"
"LNX1"	"M1"
"GRM1"	"M1"
"CNTN3"	"M1"
"NETO1"	"M1"
"PART1"	"M1"
"ACBD7"	"M2"
"SLFN11"	"M2"
"JAK2"	"M2"
"MECOM"	"M2"
"FRAS1"	"M1"
"TMEM88B"	"M3"
"SGPP2"	"M2"
"CCL2"	"Not.Correlated"
"PAK5"	"M1"
"TCP11L2"	"M2"
"GPR34"	"M2"
"AP1AR"	"M2"
"USH1C"	"M3"
"SAMD9L"	"M2"
"MBTPS2"	"M2"
"FGL2"	"M2"
"C10orf105"	"Not.Correlated"
"CARF"	"M2"
"PIK3AP1"	"M2"
"SST"	"M1"
"IKZF2"	"M2"
"ROBO2"	"M1"
"HSPA6"	"Not.Correlated"
"PRMT8"	"M1"
"RTN4RL2"	"M1"
"TGFBI"	"M2"
"MAP3K1"	"M2"
"TXLNGY"	"Not.Correlated"
"OLFM3"	"M1"
"NIPAL4"	"M3"
"NHLRC2"	"M2"
"SASH3"	"M2"
"MTMR7"	"M1"
"LILRB4"	"M2"
"GIPR"	"M3"
"CHST6"	"M2"
"SLC16A14"	"M1"
"KITLG"	"M1"
"GPC5"	"M1"
"TRIM59"	"M3"
"ZDHHC20"	"M2"
"SPHKAP"	"M1"
"EPHA5"	"M1"
"TAFA1"	"M1"
"FSTL4"	"M1"
"FAM153B"	"M1"
"C5AR1"	"M2"
"JPH1"	"M1"
"CMTR2"	"M2"
"RXFP1"	"M1"
"GK5"	"M2"
"RPS6KA5"	"M2"
"MTCO1P40"	"Not.Correlated"
"LRRTM3"	"M1"
"HLA-DQB1"	"Not.Correlated"
"PCP4L1"	"M1"
"TSTD2"	"M2"
"STAT4"	"M1"
"SMG8"	"M2"
"NUDT10"	"M1"
"ZFPM2"	"M2"
"FAM3C"	"M1"
"LTF"	"Not.Correlated"
"PRKAA2"	"M1"
"TMEM161B"	"M2"
"LRRC40"	"M1"
"CALCRL"	"M2"
"KLF10"	"M2"
"FMN1"	"M1"
"SHPRH"	"M2"
"TNNT2"	"M1"
"CCN3"	"M1"
"BCHE"	"M2"
"PCSK1"	"M1"
"ABCC4"	"M2"
"DDX11"	"Not.Correlated"
"NFATC3"	"M2"
"GBP1"	"M2"
"CDH18"	"M1"
"CKMT1A"	"M1"
"CYP4F11"	"M2"
"TMEM255A"	"M2"
"SERINC5"	"M2"
"ZNF731P"	"M2"
"NEXMIF"	"M1"
"RPS2P46"	"Not.Correlated"
"TLR5"	"M2"
"ICAM1"	"M2"
"MTCO2P22"	"Not.Correlated"
"CCR1"	"M2"
"COL21A1"	"M2"
"FAS"	"M2"
"ZMAT4"	"M1"
"HOOK1"	"M1"
"GSTM1"	"Not.Correlated"
"PIRT"	"Not.Correlated"
"PCDHB4"	"M2"
"PTPRR"	"M1"
"PDYN"	"M1"
"SEC24A"	"M2"
"ADGRD1"	"M2"
"AFF2"	"M1"
"RNF169"	"M2"
"ARHGAP20"	"M1"
"RAVER1"	"M2"
"MACROD2"	"M1"
"MSR1"	"M2"
"PCDH8"	"M1"
"CD2AP"	"M2"
"LEPR"	"M2"
"KCND2"	"M1"
"SERPINE1"	"M2"
"DLX6-AS1"	"M1"
"ENTPD3"	"M1"
"DRD1"	"M1"
"ZNF629"	"M2"
"NLGN4Y"	"Not.Correlated"
"IL1RAP"	"M2"
"HBA1"	"Not.Correlated"
"SEMA3C"	"M2"
"DACH2"	"M1"
"ANKRD44"	"M2"
"PCDHGA12"	"M2"
"EIF1AY"	"Not.Correlated"
"SP4"	"M2"
"SLC4A7"	"M2"
"SH3BP5"	"M2"
"GRIN3A"	"M1"
"TNFAIP3"	"M2"
"ARHGAP42"	"M2"
"FLRT3"	"M1"
"PIGCP1"	"M2"
"GPR22"	"M1"
"MCF2"	"M1"
"GPR83"	"M1"
"XK"	"M1"
"NAPSB"	"Not.Correlated"
"HSD11B1"	"M2"
"CLEC7A"	"M2"
"ZNF441"	"M1"
"PCDH18"	"M2"
"LURAP1L"	"M3"
"SHC3"	"M1"
"LILRB1"	"M2"
"NFKBIZ"	"M2"
"TLR7"	"M2"
"CBLN4"	"M1"
"GNB4"	"M2"
"C1QL3"	"M1"
"HTR5A"	"M1"
"BMP2K"	"M2"
"BHLHE22"	"M1"
"ERAP2"	"M2"
"KLHL28"	"M2"
"CNTN4"	"M1"
"JMJD7-PLA2G4B"	"M2"
"ADCY7"	"M2"
"SLC1A7"	"Not.Correlated"
"SULF1"	"M2"
"MLIP"	"M1"
"GBP3"	"M2"
"ERV3-1"	"M2"
"ZNF382"	"M1"
"HMGCLL1"	"M1"
"ZBED6"	"M2"
"CYP1B1"	"M2"
"PVALB"	"M1"
"C7"	"M2"
"TTC33"	"M2"
"MANEA"	"M2"
"STC1"	"M2"
"CDKL2"	"M1"
"AGO2"	"M2"
"PDE3B"	"M2"
"CPEB1"	"M2"
"LINC00639"	"M3"
"SULT1C4"	"M2"
"WNT5A"	"M2"
"MPZL2"	"M2"
"HLA-DQA1"	"Not.Correlated"
"PCDHGC5"	"M1"
"FYB1"	"M2"
"ZNF92"	"M2"
"OPRK1"	"M1"
"PCDHGB7"	"M2"
"LRRC2"	"M1"
"BMP6"	"M2"
"COL24A1"	"M1"
"QPCT"	"M1"
"SIRPB2"	"M2"
"UTY"	"Not.Correlated"
"HGF"	"M2"
"PNMA6F"	"M1"
"NCF2"	"M2"
"CHML"	"M1"
"NWD2"	"M1"
"CCDC80"	"M3"
"THBS1"	"M2"
"TRHDE"	"M1"
"TTC3P1"	"M2"
"MS4A4A"	"M2"
"THBD"	"M2"
"ECM2"	"M2"
"HS6ST2"	"M1"
"EPHX4"	"M1"
"TRIQK"	"M2"
"SERTM1"	"M1"
"GSN-AS1"	"M3"
"DLX1"	"M1"
"KLHL6"	"M2"
"BMPER"	"M1"
"SLC17A6"	"M1"
"CARTPT"	"M1"
"TUBB"	"M2"
"RIT2"	"M1"
"ADAMTS18"	"Not.Correlated"
"CD38"	"M2"
"RELL2"	"M1"
"MTX3"	"M2"
"PLAGL1"	"M2"
"DDX60"	"M2"
"SMC4"	"M2"
"EIF5A2"	"M1"
"LINC01088"	"M3"
"TAC3"	"M1"
"ADH1B"	"M2"
"GLRA3"	"M1"
"UNC5D"	"M1"
"CALB1"	"M1"
"CRACD"	"M2"
"SYNE3"	"M2"
"TYMS"	"M3"
"ACVR1C"	"M2"
"PHLDB2"	"M2"
"SPN"	"M2"
"ADRA1B"	"M1"
"EFCAB1"	"Not.Correlated"
"PILRB"	"Not.Correlated"
"CRISPLD1"	"M2"
"FAM153A"	"M1"
"ZNF483"	"M2"
"PCDHGA9"	"M2"
"MNDA"	"M2"
"NOTCH4"	"M2"
"SLC32A1"	"M1"
"SYTL5"	"M1"
"LY86-AS1"	"M1"
"SEMA3A"	"M1"
"VIP"	"M1"
"CDH9"	"M1"
"ALOX15B"	"M2"
"KCTD8"	"M1"
"CCNA1"	"M1"
"COL4A3"	"M2"
"FZD6"	"M2"
"DLEC1"	"Not.Correlated"
"ATP8B4"	"M2"
"PRKY"	"Not.Correlated"
"LINC01792"	"M3"
"P2RY14"	"M2"
"TRAM1L1"	"M2"
"ZNF737"	"M2"
"MCHR1"	"M1"
"PDXP"	"M2"
"HIPK4"	"M1"
"ABI3BP"	"M2"
"RPRML"	"M1"
"SLC26A4"	"M1"
"ECT2"	"M2"
"ZNF107"	"M2"
"SMCR8"	"M2"
"MPEG1"	"M2"
"RFPL2"	"M1"
"ABCD2"	"M1"
"SAMSN1"	"M2"
"CMPK2"	"M1"
"RP2"	"M2"
"MPP7"	"M1"
"TPBG"	"M1"
"HTR5A-AS1"	"M1"
"PLA2G4A"	"M2"
"SEMA3E"	"M2"
"IL18R1"	"M2"
"SPTSSB"	"M1"
"USP37"	"M2"
"CXorf38"	"M2"
"SERPINA5"	"Not.Correlated"
"IL1RAPL1"	"M2"
"TAF4B"	"M1"
"SIGLEC9"	"M2"
"LPAR3"	"Not.Correlated"
"MED12L"	"M2"
"KCNS2"	"M1"
"FSTL5"	"M1"
"ESRRG"	"M1"
"MIS18BP1"	"M2"
"TCERG1L"	"M1"
"PCDHB15"	"M2"
"LYPLA1"	"M2"
"PTPRH"	"M3"
"FOXP2"	"M1"
"VSTM5"	"M1"
"HPSE"	"M2"
"AP5B1"	"M2"
"GPR63"	"M1"
"ANGPT1"	"M2"
"ODF3B"	"Not.Correlated"
"SIGLEC1"	"M2"
"LINC01007"	"M1"
"ACY3"	"Not.Correlated"
"SLC25A24"	"M2"
"GPR75"	"M2"
"PCDHGB2"	"M2"
"GAPDHP35"	"Not.Correlated"
"SLC26A9"	"M3"
"SSPN"	"M2"
"ADCYAP1"	"M1"
"SEMA3D"	"M1"
"MATN3"	"M2"
"FGF9"	"M1"
"TNFRSF11B"	"M2"
"FAM153CP"	"M1"
"SERPINA3"	"M2"
"ADGRE2"	"M2"
"TBC1D8B"	"M2"
"DMRT2"	"M3"
"GRM5"	"M1"
"AGBL4"	"M1"
"RET"	"M1"
"CNTN5"	"M1"
"NDST3"	"M1"
"GLRA2"	"M1"
"NBEAL1"	"M2"
"SLC47A2"	"Not.Correlated"
"RELL1"	"M2"
"C18orf32"	"M2"
"MT1A"	"Not.Correlated"
"VWC2L"	"M1"
"PLEKHM3"	"M2"
"ANKRD36"	"M2"
"RBM24"	"M1"
"LINC02473"	"M3"
"GIMAP2"	"M2"
"ZNF366"	"M2"
"DPY19L2P1"	"M1"
"PCDHGA3"	"M2"
"DHRS9"	"M2"
"VCAM1"	"M2"
"MAGEC3"	"M3"
"MT1H"	"Not.Correlated"
"MAP3K21"	"M1"
"RBM43"	"M2"
"INHA"	"M1"
"FHL5"	"M2"
"ADRA1A"	"M2"
"RSPO3"	"M1"
"STYK1"	"M1"
"TRIM54"	"M1"
"SYN3"	"M1"
"IL1B"	"M2"
"GABRB1"	"M2"
"COL8A1"	"M2"
"TLR6"	"M2"
"PCK1"	"M2"
"S100A12"	"M2"
"SOSTDC1"	"M1"
"ZNF804A"	"M1"
"NPIPA5"	"Not.Correlated"
"SAMD9"	"M2"
"ZNF831"	"M1"
"TLR1"	"M2"
"LINC01535"	"Not.Correlated"
"PKD1P6"	"M2"
"SRGAP2B"	"M2"
"KCNT2"	"M1"
"MYO1G"	"M2"
"EPHA3"	"M1"
"SMIM32"	"M1"
"GPR183"	"M2"
"GPR88"	"M1"
"TTTY15"	"Not.Correlated"
"GREM2"	"M1"
"ZNF264"	"M2"
"ANKRD36C"	"M1"
"TOX3"	"M2"
"KCNA4"	"M1"
"GRID2"	"M2"
"MEPE"	"M1"
"ADGRG6"	"M2"
"ZNF337"	"M2"
"CYTL1"	"M2"
"TFEC"	"M2"
"DAZAP2P1"	"M2"
"NCR3LG1"	"M1"
"MAPK15"	"Not.Correlated"
"TBX18"	"M2"
"PTGER3"	"M1"
"DOC2B"	"M1"
"LINC01616"	"M1"
"PCDHAC2"	"M2"
"ODAD1"	"Not.Correlated"
"LILRA4"	"Not.Correlated"
"KRT222"	"M1"
"IPPK"	"M2"
